nhai,n h a i,"<a>"
bi,b i,"<b>"
duka,d u k a,"<d>"
be,b e,"<e>"
tfit,t ɸ i t,"<f>"
hingrneft,h i n ɡ ɾ n e ɸ t,"<g>"
toh,t o h,"<h>"
yima,j i m a,"<i>"
inji,i n dʒ i,"<j>"
kfo,k ɸ o,"<k>"
wom,w o m,"<m>"
na,n a,"<n>"
mrokfot,m ɾ o k ɸ o t,"<o>"
rpat,ɾ p a t,"<p>"
bro,b ɾ o,"<r>"
fasoh,ɸ a s o h,"<s>"
tu,t u,"<t>"
yuhat,j u h a t,"<u>"
wanyhato,w a ɲ h a t o,"<w>"
yak,j a k,"<y>"
hanyhato,h a ɲ h a t o,"<ny>"
afo,a ɸ o,
yuhum,j u h u m,
finji,ɸ i n dʒ i,
hik,h i k,
turhu,t u ɾ h u,
memom,m e m o m,
yiha,j i h a,
rim,ɾ i m,
hingrna,h i n ɡ ɾ n a,
