أُكْسِجِين,ʔ u k s i dʒ i ː n,"long /i/ (kasrah + ي)",
أَقِط,ʔ a q i tˤ,"initial glottal stop with /a/ diacritic",
أَجْهَدَ,ʔ a dʒ h a d a,"sukun",
أَجْسَم,ʔ a dʒ s a m,
أَجْهَل,ʔ a dʒ h a l,
أُمْدُوحَة,ʔ u m d u ː ħ a,"ta-marbuta without a diacritic",
أَنْشَط,ʔ a n ʃ a tˤ,"emphatic /t/",
أَهْدَب,ʔ a h d a b,
شَاحِنَة,ʃ a ː ħ i n a,
شَارِع,ʃ a ː r i ʕ,
دَا,d a ː,"long /a/ (fatha + alif)"
غاضِب,ɣ a ː dˤ i b,"emphatic /d/",
غَزَالَة,ɣ a z a ː l a,
رَزَقَ,r a z a q a,
رِفَاق,r i f a ː q,
رَفَأَ,r a f a ʔ a,"word-medial glottal stop (alif-hamza)",
رُمْح,r u m ħ,
هَافَانَا,h a ː f a ː n a ː,
فَاسِد,f a ː s i d,
فِتْنَة,f i t n a,
فِرْعَوْن,f i r ʕ aw n,"diphthong /aw/",
فُرُوغ,f u r u ː ɣ,
فَظِيع,f a ðˤ i ː ʕ,
قَاضٍ,q a ː dˤ i n,"/in/ nunnation",
قَبُوح,q a b u ː ħ,
قَاطَعَ,q a ː tˤ a ʕ a,
قَبِيح,q a b i ː ħ,
قَزّ,q a z ː,"consonant gemination (shadda)",
وَازَى,w a ː z a ː,"initial /w/",
ثَلَاثَة,θ a l a ː θ a,
جَبْخَانَة,dʒ a b x a ː n a,
جُمَّيْزَة,dʒ u m ː aj z a,
الْبُخَارِىُّ,ʔ l b u x a ː r i j ː u,
نَبَاتِيّ,n a b a ː t i j ː,
عَلِيٍّ,ʕ a l i j ː i n,
آدَمِيّ,ʔ a ː d a m i j ː,
آيَسَ,ʔ a ː j a s a,
ذبابة,ð b a ː b,
صار,sˤ a ː r,
