pagi,p a ɡ i,
ipen,i p ɘ n,
tiga,t i ɡ a,
kuta,k u t a,
kaka,k a k a,
pake,p a k ɘ,
bagi,b a ɡ i,
rubat,r u b a t,
dung,d u ŋ,
kuda,k u d a,
page,p a ɡ ɘ,
galang,ɡ a l a ŋ,
cudu,tɕ u d u,
lacina,l a tɕ i n a,
juak,dʑ u a k,
kerja,k ɘ r dʑ a,
merim,m ɘ r i m,
amak,a m a k,
anak,a n a k,
nini,n i n i,
bulang,b u l a ŋ,
ngadi,ŋ a d i,
sudu,s u d u,
isang,i s a ŋ,
nahan,n a h a n,
hamaten,h a m a t ɘ n,
nali,n a l i,
lalap,l a l a p,
kundul,k u n d u l,
rawa,r a w a,
diberu,d i b ɘ r u,
wiswis,w i s w i s,
ya,j a,
ayo,a j o,
wili,w i l i,
nipe,n i p ɘ,
dem,d ɘ m,
karaben,k a r a b ɘ n,
medem,m ɘ d ɘ m,
asa,a s a,
tuhu,t u h u,
ope,o p ɘ,
