tso',ts ɔ ˨ ʔ,ts; o; apostrophe
buaë,b u ˨ a ˨ ɪ ˨,b; u; a; ë
dör,d ʊ ˨ d,d; ö; r
kë,k ɪ ˨,k; ë
ieꞌpa,i ˨ ɛ ˨ ʔ p a ˨,i; e; '; p
es,ɛ ˨ s,s
ta̱,t ã ˨,t; a̱
judiowak,x u ˨ d i ˨ ɔ ˨ u a ˨ k,j; w
sulu,s u ˨ ɭ u ˨,l
mik,b i ˨ k,m
ena,ɛ ˨ d a ˨,n
ñies,dʒ i ˨ ɛ ˨ s,ñ
yeꞌ,dʒ ɛ ˨ ʔ,y
iché,i ˨ tʃ ɛ ˥˩,ch; é
ñippökwakpa,dʒ i ˨ p ː ʊ ˨ k u a ˨ k p a ˨,pp
burro,b u ˨ r ɔ ˨,rr
shu̱a̱,ʃ ũ ˨ ã ˨,sh; u̱
se̱tcha,s ɛ̃ ˨ tʃ ː a ˨,e̱; tch
ttè,t ː ɛ ˦,tt; è
tka,tk a ˨,tk
ttsé,ts ː ɛ ˥˩,tts
wák,u a ˥˩ k,á
ká̱,k ã ˥˩,á̱
bë́,b ɪ ˥˩,ë́
íyi,i ˥˩ dʒ i ˨,í
itóttola,i ˨ t ɔ ˥˩ t ː ɔ ˨ ɭ a ˨,ó
chö́,tʃ ʊ ˥˩,ö́
mú,b u ˥˩,ú
é̱na,ɛ̃ ˥˩ d a ˨,é̱
kí̱,k ĩ ˥˩,í̱
isho̱ló̱,i ˨ ʃ ɔ̃ ˨ ɭ ɔ̃ ˥˩,o̱; ó̱
sa̱ú̱,s ã ˨ ũ ˥˩,ú̱
wà,u a ˦,à
kë̀,k ɪ ˦,ë̀
ñì,dʒ i ˦,ì
kanò,k a ˨ d ɔ ˦,ò; the nasalized version of this grapheme is not present in Crubadan
ttö̀,t ː ʊ ˦,ö̀
mù,b u ˦,ù
sù̱,s ũ ˦,ù̱
tsà̱,ts ã ˦,à̱
wè̱,u ɛ̃ ˦,è̱
nuì̱,d u ˨ ĩ ˦,
ki̱,k ĩ ˨,i̱
