pum,p u m,
apel,a p ɛ l̪,
pip,p i p,
bum,ᵐb u m,
abel,a ᵐb ɛ l̪,
bib,ᵐb i ᵐb,
ma,m a,
amaġ,a m a ᶰɢ,
vahek,β a ʁ ɛ k,
vavu,β a β u,
ahov,a ʁ o β,
wanġ,w a ɴ,
bewë,ᵐb ɛ w e,
kwaanġ,kʷ a ː ɴ,
ḳakwii,q a kʷ i ː,
gweḳo,ᵑɡʷ ɛ q o,
degwa,ⁿd̪ ɛ ᵑɡʷ a,
ngwii,ŋʷ i ː,
mangweleḳin,m a ŋʷ ɛ l̪ ɛ q i n̪,
tahu,t̪ a ʁ u,
ḳetu,q ɛ t̪ u,
tebot,t̪ ɛ ᵐb o t̪,
dii,ⁿd̪ i ː,
ading,a ⁿd̪ i ŋ,
vud,β u ⁿd̪,
nöḳ,n̪ ɔ q,
ana,a n̪ a,
mun,m u n̪,
ranġa,ɽ a ɴ a,
aru,a ɽ u,
rawër,ɽ a w e ɽ,
seġes,tʃ ɛ ᶰɢ ɛ tʃ,
pasanġ,p a tʃ a ɴ,
metes,m ɛ t̪ ɛ tʃ,
jabuh,ⁿdʒ a ᵐb u ʁ,
jajap,ⁿdʒ a ⁿdʒ a p,
wëëj,w e ː ⁿdʒ,
nyël,ɲ e l̪,
ḳanyë,q a ɲ e,
lin,l̪ i n̪,
alov,a l̪ o β,
anil,a n̪ i l̪,
yes,j ɛ tʃ,
ayoġ,a j o ᶰɢ,
kip,k i p,
peko,p ɛ k o,
jik,ⁿdʒ i k,
gelëp,ᵑɡ ɛ l̪ e p,
amego,a m ɛ ᵑɡ o,
rig,ɽ i ᵑɡ,
ngisek,ŋ i tʃ ɛ k,
venguh,β ɛ ŋ u ʁ,
neheng,n̪ ɛ ʁ ɛ ŋ,
ggipek,ɣ i p ɛ k,
agga,a ɣ a,
ḳöḳ,q ɔ q,
vaḳu,β a q u,
luḳ,l̪ u q,
gööḳ,ᵑɡ ɔ ː q,
ġeġon,ᶰɢ ɛ ᶰɢ o n̪,
duġ,ⁿd̪ u ᶰɢ,
nġaa,ɴ a ː,
menġëës,m ɛ ɴ e ː tʃ,
rahënġ,ɽ a ʁ e ɴ,
