àbac,a b a k,
cabdal,k a b d a l,
cérvol,s e ɾ b o l,
feliç,f e l i s,
és,e s,
abella,a b e ʎ a,
què,k ɛ,
grossa,ɡ ɾ o s a,
faig,f a tʃ,
gel,ʒ e l,
ham,a m,
abduïda,a b d u i d a,
abaixar,a b a i ʃ a ɾ,
iac,i a k,
ella,e ʎ a,
cel·la,s e l ː a,
senyor,s e ɲ o ɾ,
electró,e l e k t ɾ o,
to,t o,
però,p e ɾ ɔ,
ja,ʒ a,
quinze,k i n z e,
terra,t e r a,
rebre,r e b ɾ e,
dir,d i ɾ,
passa,p a s a,
cotxe,k o tʃ e,
despatx,d e s p a tʃ,
últim,u l t i m,
diürn,d i u ɾ n,
taula,t a u l a,
guant,ɡ w a n t,
botigues,b o t i ɡ e s,
llengües,ʎ e n ɡ w e s,
va,b a,
això,a i ʃ ɔ,
whisky,w i s k i,
exemple,e k s e m p l e,
xarxa,ʃ a ɾ ʃ a,
noveŀla,n o b e lː a,
obliqua,o b l i k w a,
obliqües,o b l i k w e s,
fetge,f e dʒ e,
mitjó,m i dʒ o,
dotze,d o dz e,
