adebabada,a d e b a b a d a,
ahuema,a w e m a,
cuesiya,kʷ e s i j a,
chadi,tɕ a d i,
chajaya,tɕ a h a j a,
duu,d u u,
dyai,ɟ a i,
dyaquetanaya,ɟ a k e t a n a j a,
naqui,n a k i,
nasehueda,n a s e w e d a,
erumu,e ɺ u m u,
icuene,i kʷ e n e,
lluya,ʎ u j a,
mallaya,m a ʎ a j a,
metse,m e ts e,
ñuhuiri,ɲ u w i ɺ i,
patya,p a c a,
ishu,i ɕ u,
chichucata,tɕ i tɕ u k a t a,
cacuatsashati,k a kʷ a ts a ɕ a t i,
ama,a m a,
cuanaque,kʷ a n a k e,
jadya,h a ɟ a,
bucha,b u tɕ a,
cuana,kʷ a n a,
tuna,t u n a,
tuque,t u k e,
inime,i n i m e,
eque,e k e,
queja,k e h a,
