ac'ä,ʔ a k’ ɘ,
achacha'tu,ʔ a tʃ a tʃ a ʔ t̪ u,
ajbobo,ʔ a h b o b o,
ajcapumpiyo',ʔ a h k a p u m p i j o ʔ,
ajcotq'uin,ʔ a h k o t̪ k’ i n,
ajlächom,ʔ a h l ɘ tʃ o m,
ajman,ʔ a h m a n,
ajmococh,ʔ a h m o k o tʃ,
ajmitz'it,ʔ a h m i ts’ i t̪,
aranxax,ʔ a ɾ a n ʃ a ʃ,
apasote,ʔ a p a s o t̪ e,
ayc'uyni,ʔ a j k’ u j n i,
awät,ʔ a w ɘ t̪,
a'äctaya,ʔ a ʔ ɘ k t̪ a j a,
a'i,ʔ a ʔ i,
a'uma',ʔ a ʔ u m a ʔ,
äle',ʔ ɘ l e ʔ,
älib,ʔ ɘ l i b,
äq'ue',ʔ ɘ k’ e ʔ,
bäcä,b ɘ k ɘ,
bucla,b u k l a,
bo'inle,b o ʔ i n l e,
buruxja',b u ɾ u ʃ h a ʔ,
but'esan,b u t̪’ e s a n,
catijunq'uin,k a t̪ i h u n k’ i n,
cuch,k u tʃ,
cus'an,k u s ʔ a n,
c'ote,k’ o t̪ e,
c'omelcab,k’ o m e l k a b,
chicchicna,tʃ i k tʃ i k n a,
chij'oc,tʃ i h ʔ o k,
chinin,tʃ i n i n,
ch'ix,tʃ’ i ʃ,
dali,d̪ a l i,
ej,ʔ e h,
ichan,ʔ i tʃ a n,
ixquel,ʔ i ʃ k e l,
jan,h a n,
jaque,h a k e,
jäyp'exca,h ɘ j p’ e ʃ k a,
jit'xan,h i t̪’ ʃ a n,
jitz',h i ts’,
jut,h u t̪,
ju',h u ʔ,
lep',l e p’,
liq'uich,l i k’ i tʃ,
lotän,l o t̪ ɘ n,
lomteq'ue',l o m t̪ e k’ e ʔ,
machca,m a tʃ k a,
malu,m a l u,
malujle,m a l u h l e,
ma'läwe,m a ʔ l ɘ w e,
mäc,m ɘ k,
