aiyo,ai j o,
amarito,a m a ɾ i t o,
ariorica,a ɾ io ɾ i k a,
caari,k a ː ɾ i,
cachorontoqui,k a tʃ o ɾ o n t o k i,
camevira,k a m e β i ɾ a,
capiro,k a p i ɾ o,
capeshi,k a p e ʃ i,
corinto,k o ɾ i n t o,
chacami,tʃ a k a m i,
cajo,k a h o,
chocaripa,tʃ o k a ɾ i p a,
emoo,e m o ː,
eerequi,e ː ɾ e k i,
enoma,e n o m a,
ijina,i h i n a,
imashi,i m a ʃ i,
impanequi,i m p a n e k i,
impita,i m p i t a,
iposataque,i p o s a t a k e,
iveto,i β e t o,
maniti,m a n i t i,
mantsareto,m a n ts a ɾ e t o,
naavataji,n a ː β a t a h i,
najitapo,n a h i t a p o,
nanoncaca,n a n o n k a k a,
neentaca,n e ː n t a k a,
neronto,n e ɾ o n t o,
