a'cusa,a ʔ k u s a,
ahuinno,a w ĩ n o,
alochí,a l o ts i,
ayán,a j ã,
ayuna,a j u n a,
bá'caca,b a ʔ k a k a,
bájino,b a h i n o,
bo'pí,b o ʔ p i,
buno,b u n o,
bu'tú,b u ʔ t u,
cari,k a r i,
cayen,k a j ẽ,
ca'qué,k a ʔ k e,
co'có,k o ʔ k o,
coleca,k o l e k a,
cuhuá,k u w a,
cu'chuchu,k u ʔ ts u ts u,
chihuu,ts i w u,
chidé,ts i d e,
delesa,d e l e s a,
dídiqueno,d i d i k e n o,
fano,ɸ a n o,
fi'quí,ɸ i ʔ k i,
hue,w e,
i'tono,i ʔ t o n o,
jabi,h a b i,
lano,l a n o,
la'pino,l a ʔ p i n o,
lonlo,l õ l o,
manpi,m ã p i,
nin,n ĩ,
panu,p a n u,
panchi,p ã ts i,
pa'penca,p a ʔ p ẽ k a,
pe'tenno,p e ʔ t ẽ n o,
piranchi,p i r ã ts i,
sónhino,s õ i n o,
sulino,s u l i n o,
