bia'a,ᵐb i a ʔ a, word-inital b and glottal stop
amundetssi,ã m ɨ̃ ⁿd e tsʰ i,	nd prenasalization and tss affricate and single vowel nasalization
dushu,ⁿd ɨ ʃ ɨ, word-inital d and sh fricative
geño,ᵑɡ ẽ ɲ õ, word-inital g
tsa'o,ts a ʔ o, ts affricate
singemaqque,s ĩ ᵑɡ ẽ m ã kʰ e, ng prenasalization and kk aspiration and qqu rule
fittije,f i tʰ i h e, tt aspiration
afa'cho,a f a ʔ tʃ o, ch affricate
a'mbia,a ʔ ᵐb i a, mb prenasalization
ain,ãĩ,	nasal diphthong
cochhi,k o tʃʰ i,	chh affricate
rande,ɾ ã ⁿd e,
ppimi,pʰ ĩ m ĩ, pp aspiration
cundyi,k ɨ̃ ⁿdʒ i, ndy affricate
dyaiye,ⁿdʒ ai j e, dy affricate and oral diphthong
coenza,k õẽ ⁿdz a, nz affricate
ze'nze,ⁿdz e ʔ ⁿdz e,	word-initial z
a'que'o,a ʔ k e ʔ o, qu rules
