bia'a,ᵐb i a ʔ a,	word-inital b and glottal stop
amûndetshi,ã m ɨ̃ ⁿd e tsʰ i, nd prenasalization and tsh affricate and single vowel nasalization
dûshû,ⁿd ɨ ʃ ɨ, word-inital d and sh fricative
geñu,ᵑɡ ẽ ɲ õ, word-inital g
tsa'u,ts a ʔ o, ts affricate
singemakhe,s ĩ ᵑɡ ẽ m ã kʰ e, ng prenasalization and kh aspiration
fithije,f i tʰ i h e, th aspiration
afa'chu,a f a ʔ tʃ o, ch affricate
a'mbia,a ʔ ᵐb i a, mb prenasalization
ain,ãĩ, final nasal deletion
kuchhi,k o tʃʰ i, chh affricate
rande,ɾ ã ⁿd e,
phimi,pʰ ĩ m ĩ, ph aspiration
kûndyi,k ɨ̃ ⁿdʒ i, ndy affricate
dyaiye,ⁿdʒ ai j e, dy affricate and oral diphthong
kuenza,k õẽ ⁿdz a, nz affricate and nasal diphthong
ze'nze,ⁿdz e ʔ ⁿdz e, word-initial z
