man,m ɘ n,"<a>"
ñátum,ɲ a t u m,"<á>"
máamak,m a ː m a k,"<áa>"
bee,b ɛ ː,"<b>"
ceb,c ɛ b,"<c>"
di,d ɪ,"<d>"
ínje,i n ɟ e,"<e>"
ésukey,e s u k e j,"<é>"
téeŋey,t e ː ŋ e j,"<ée>"
fati,f ɘ t ɪ,"<f>"
sílingaas,s i l i n ɡ a ː s,"<g>"
hani,h ɘ n ɪ,"<h>"
mati,m ɘ t ɪ,"<i>"
tíen,t i e n,"<í>"
ríiŋ,r i ː ŋ,"<íi>"
joote,ɟ ɔ ː t ɛ,"<j>"
burok,b ʊ r ɔ k,"<k>"
muyuul,m ʊ j ʊ ː l,"<l>"
búrom,b u r o m,"<m>"
nan,n ɘ n,"<n>"
iñeme,ɪ ɲ ɛ m ɛ,"<ñ>"
eroŋey,ɛ r ɔ ŋ ɛ j,"<ŋ>"
eenomi,ɛ ː n ɔ m ɪ,"<o>"
dó,d o,"<ó>"
dóo,d o ː,"<óo>"
kápurumul,k a p u r u m u l,"<p>"
bare,b ɘ r ɛ,"<r>"
sati,s ɘ t ɪ,"<s>"
yati,j ɘ t ɪ,"<t>"
bukanak,b ʊ k ɘ n ɘ k,"<u>"
dúniyaay,d u n i j a ː j,"<ú>"
súum,s u ː m,"<úu>"
wan,w ɘ n,"<w>"
ewañey,ɛ w ɘ ɲ ɛ j,"<y>"
kaje'e,k ɘ ɟ ɛ ɛ,"apostrophe"
eppooyuwo,ɛ p ː ɔ ː j ʊ w ɔ,"geminate consonant"
