"पालन",p ɑ l ɐ n ɐ,PA DIACRITICA LA NA "nurture"
"बाल",b ɑ l ɐ,BA DIACRITICA LA "hair"
"फूल",pʰ u l ɐ,PHA DIACRITICU LA "flower"
"मटर",m ɐ ʈ ɐ ɾ ɐ,MA RETROFLEXTA RA "peas"
"फ़ारसी",f ɑ ɾ ɐ s i,PHA NUQTA RA SA DIACRITICI "Persian"
"चायवाला",tʃ ɑ j ɐ ʋ ɑ l ɑ,CA DIACRITICA YA VA DIACRITICA LA DIACRITICA "tea seller (male)"
"ताल",t̪ ɑ l ɐ,TA DIACRITICA LA "rhythm"
"दाल",d̪ ɑ l ɐ,DA DIACRITICA LA "lentils"
"थाली",t̪ʰ ɑ l i,THA DIACRITIC LA DIACRITICI "platter"
"दूध",d̪ u d̪ʱ ɐ,DA DIACRITICU DHA "milk"
"नौकरी",n ɔ k ɐ ɾ i,NA DIACRITICTURNEDC KA RA DIACRITICI "job"
"साल",s ɑ l ɐ,SA DIACRITICA LA "year"
"गाल",ɡ ɑ l ɐ,GA DIACRITICA LA "cheek"
"खाल",kʰ ɑ l ɐ,KHA DIACRITICA LA "skin"
"घान",ɡʱ ɑ n ɐ,GHA DIACRITICA NA "bundle"
"हल",h ɐ l ɐ,HA LA "solution"
"वाङ्मय",ʋ ɑ n m ɐ j ɐ,VA DIACRITICA NGA HALANTA MA JA "literature"
"यार",j ɑ ɾ ɐ,YA DIACRITICA RA "buddy"
"जाल",dʒ ɑ l ɐ,JA DIACRITICA LA "net"
"छाल",tʃʰ ɑ l ɐ,CHA DIACRITICA LA "tree bark"
"झेल",dʒʱ e l ɐ,JHA DIACRITICE LA "withstand"
"शाल",ʃ ɑ l ɐ,SHA DIACRITICA LA "shawl"
"टाल",ʈ ɑ l ɐ,RETROFLEXTA DIACRITICA LA "postpone"
"डाल",ɖ ɑ l ɐ,RETROFLEXDA DIACRITICA LA "branch"
"ठाल",ʈʰ ɑ l ɐ,RETROFLEXTHA DIACRITICA LA "lumber shop"
"ढाल",ɖʱ ɑ l ɐ,RETROFLEXDHA DIACRITICA LA "shield"
"पत्ती",p ɐ t̪ ː i,PA TA HALANTA TA DIACRITICA "leaf, gemination rule"
"आरम्भ",ɑ ɾ ɐ m bʱ ɐ,A RA MA HALANTA BHA "start"
"एक",e k ɐ,E KA "one"
"ऐतिहासिक",ɛ t̪ ɪ h ɑ s ɪ k ɐ,EPSILON TA DIACRITICLAXI HA DIACRITICA SA DIACRITICLAXI KA "historical"
"अधूरा",ɐ d̪ʱ u ɾ ɑ,SCHWA DHA DIACRITICU RA DIACRITICA "incomplete"
"ईश्वर",i ʃ ʋ ɐ ɾ ɐ,I SHA HALANTA VA RA "God"
"भाषाओं",bʱ ɑ ʃ ɑ õ,BHA DIACRITICA SHA DIACRITICA O NASAL "languages"
"मिल",m ɪ l ɐ,MA DIACRITICLAXI LA "meet"
"मैल",m ɛ l ɐ,MA DIACRITICEPSILON LA "dirt"
"बोले",b o l e,BA DIACRITICO LA DIACRITICE "speak"
"में",m ẽ,MA DIACRITICE NASAL "in, nasal rule"
"भटूरा",bʱ ɐ ʈ u ɾ ɑ,BHA,
