және,ʒ æ n̪ e, ж goes to /ʒ/; ә goes to /æ/; н goes to /n̪/; е goes to /e/
мен,m e n̪, м goes to /m/
да,d̪ ɑ, д goes to /d̪/; а goes to /ɑ/
деп,d̪ e p, п goes to /p/
бір,b ɪ r, б goes to /b/; і goes to /ɪ/; р goes to /r/
де,d̪ e,
үшін,y ʃ ɪ n̪, ү goes to /y/; ш goes to /ʃ/
қазақстан,q ɑ z̪ ɑ q s̪ t̪ ɑ n̪, з goes to /z̪/; қ goes to /q/; c goes to /s̪/; т goes to /t̪/
бойынша,b o j ɯ n̪ ʃ ɑ, o goes to /o/; й goes to /j/; ы goes to /ɯ/
деген,d̪ e ɡ e n̪, г goes to /ɡ/
ғана,ʁ ɑ n̪ ɑ, ғ goes to /ʁ/
аллаһ,ɑ l̪ ː ɑ h, һ goes to /h/
халықаралық,χ ɑ l̪ ɯ q ɑ r ɑ l̪ ɯ q, х goes to /χ/
мемлекеттік,m e m l̪ e k e t̪ ː ɪ k, к goes to /k/
оның,o n̪ ɯ ŋ, ң goes to /ŋ/
өз,ø z̪, ө goes to /ø/
бар,b ɑ r,
туралы,t̪ u r ɑ l̪ ɯ, у goes to /u/
бұл,b ʊ l̪, ұ goes to /ʊ/
бюджеттік,b j u d̪ ʒ e t̪ ː ɪ k, ю goes to /ju/
болып,b o l̪ ɯ p,
емес,j e m e s̪,
осы,o s̪ ɯ,
жоқ,ʒ o q,
болады,b o l̪ ɑ d̪ ɯ,
керек,k e r e k,
жылы,ʒ ɯ l̪ ɯ,
ол,o l̪,
сол,s̪ o l̪,
