acte,a k t e,
chido,tʃ i d o,
abentesëc,a b e n t e s ɨ k,
dayun,d a j u n,
occasad,o k ː a s a d,
secque,s e k ː e,
taëmi,t a ɨ m i,
tsidun,ts i d u n,
shui,ʃ u i,
dadpen,d a d p e n,
chiaid,tʃ i a i d,
quequin,k e k i n,
mibi,m i b i,
nec,n e k,
yacno,j a k n o,
iquec,i k e k,
ëbi,ɨ b i,
yec,j e k,
matses,m a ts e s,
aton,a t o n,
abi,a b i,
bëdamboen,b ɨ d a m b o e n,
mimbi,m i m b i,
ambi,a m b i,
dada,d a d a,
icquin,i k ː i n,
bëdambo,b ɨ d a m b o,
utsi,u ts i,
tantiaquin,t a n t i a k i n,
con,k o n,
