kamarad,k a m a ɣ a d̪,"a"
buku,b u k u,"b"
devlope,d̪ e v l o p e,"d to d̪"
sesil,s e s i l,"e"
fini,f i n i,"f"
golfis,ɡ o l f i s,"g to ɡ"
halim,h a l i m,"h"
timid,t̪ i m i d̪,"i"
jet,dʒ e t̪,"j to dʒ"
lepok,l e p o k,"k"
lakaz,l a k a z,"l"
malad,m a l a d̪,"m"
bizin,b i z i n,"n"
zom,z o m,"o"
partu,p aː t̪ u,"p"
res,ɣ e s,"r to ɣ"
sez,s e z,"s"
tipti,t̪ i p t̪ i,"t to t̪"
dimun,d̪ i m u n,"u"
vin,v i n,"v"
dizwit,d̪ i z w i t̪,"w"
taxi,t̪ a k s i,"x to ks"
byen,b j ẽ,"y to j"
zot,z o t̪,"z"
chak,tʃ a k,"ch to tʃ"
bengkrep,b e ŋ k ɣ e p,"ng to ŋ"
ganye,ɡ a ɲ e,"ny to ɲ"
gagne,ɡ a ɲ e,"gn to ɲ"
ranze,ɣ ã z e,"an to ã"
bizen,b i z ẽ,"en to ẽ"
mizer,m i z eə,"er to eə word-finally"
lontam,l õ t̪ a m,"on to õ"
deforz,d̪ e f oː z,"or to oː preceding a consonant"
turve,t̪ uə v e,"ur to uə preceding a consonant"
alert,a l eə t̪,"er to eə preceding a consonant"
bann,b a n,"ann to an"
kouzinn,k u z i n,"inn to n"
klounn,k l u n,"ou to u"
