ഞാൻ,ɲ a ː n̪, NYA DIACRITICAA CHILLUN
മലയാളം,m a l a j a ː ɭ a m, MA LA YA DIACRITICAA LLA ANUSVARA
ക്രിസ്തു,k ɾ i s t̪ u,KA DIACRITICVOCALICR DIACRITICI SA VIRAMA TA DIACRITICU
ഖണ്ഡങ്ങൾ,kʰ a ɳ ɖ a ŋ ː a ɭ,KHA NNA VIRAMA DDA NGA VIRAMA NGA CHILLULL
ഗണേശ,ɡ a ɳ e ː ʃ a,GA NNA DIACRITICEE SHA
ഘടന,ɡʱ a ʈ a n̪ a,GHA TTA NA
അരങ്ങേറ്റം,a ɾ a ŋ ː e ː ʈ ː a m,A RA NGA VIRAMA NGA DIACRITICEE RRA VIRAMA RRA MA
ചുവപ്പായ,tʃ u ʋ a p ː a ː j a,CA DIACRITICU VA PA VIRAMA PA DIACRITICAA YA
ജീവിതം,ɟ i ː ʋ i t̪ a m,JA DIACRITICII VA DIACRITICI TA ANUSVARA
ഝാര്ഖണ്ഡ്,ɟʱ a ː ɾ kʰ a ɳ ɖ,JHA DIACRITCAA RA VIRAMA KHA NNA VIRAMA DDA VIRAMA
കുഷ്‌ഠം,k u ʂ ʈʰ a m,KA DIACRITICU SSA VIRAMA zero width non joiner TTHA ANUSVARA
നിഗൂഢ,n̪ i ɡ u ː ɖʱ a,NA DIACRITICI GA DIACRITICUU DDHA
എണ്ണല്‍,e ɳ ː a l,E NNA VIRAMA NNA LA VIRAMA zero width joiner
ഩ,n a,NNNA not a real word
ഫല,pʰ a l a,PHA LA
ബന്ധപ്പെട്ട,b a n̪ d̪ʱ a p ː e ʈ ː a,BA NA VIRAMA DHA VIRAMA PA DIACRITICE TTA VIRAMA
ഭാഗമായ,bʱ a ː ɡ a m a ː j a,BHA DIACRITICAA GA MA DIACRITICAA YA
മഴ,m a ɻ a,MA LLLA
കൈ,k ai,KA DIACRITICAI
ലോകം,l o ː k a m,LA DIACRITICEE DIACRITICAA KA ANUSVARA
പോകു,p o ː k u,PA DIACRITICOO KA DIACRITICU
പൊ,p o,PA DIACRITICE DIACRITICAA
പൊ,p o,PA DIACRITICO
കൌമ,k au m a,KA DIACRITICAU MA
കൗമ,k au m a,KA AULENGTHMARK MA
ആൺ,a ː ɳ,AA CHILLUNN
സർ,s a r,SA CHILLURR
ഐൿ,ai k,AI CHILLUK not a real word
പഃ,p a h,PA VISARGA not a real word
ഈച്ച,i ː tʃ ː a,II CHA VIRAMA CHA
ഇല്ല,i l ː a,I LA VIRAMA LA
ഉപ്പ്,u p ː,U PA VIRAMA PA
ഊണ്,u ː ɳ,UU NNA VIRAMA
ഒന്ന്,o n̪ ː,O NA VIRAMA NA VIRAMA
ഔദ്യോഗിക,au d̪ j o ː ɡ i k a,AU DA VIRAMA YA DIACRITICOO GI
ഏറ്റവും,e ː ʈ ː a ʋ u m,EE RA VIRAMA RA VA DIACRITICU ANUSVARA
അതു്,a t̪ u,
