gupken,ɡ u p k e n,
kabiy,k a b i j,
dobsen,d o b s e n,
zumlaw,z u m l a w,
onmin,o n m i n,
gruw,ɡ ɾ u w,
romriq,ɾ o m ɾ i ʔ,
figilfigal,f i ɡ i l f i ɡ a l,
gway,ɡ w a j,
akwiyakan,a k w i j a k a n,
skot,s k o t,
kengkel,k e n ɡ k e l,
loyin,l o j i n,
abelqan,a b e l ʔ a n,
abigman,a b i ɡ m a n,
otaq,o t a ʔ,
katbebey,k a t b e b e j,
tangir,t a n ɡ i ɾ,
gurnuy,ɡ u ɾ n u j,
hus,h u s,
yaw,j a w,
agemyakin,a ɡ e m j a k i n,
mangsong,m a n ɡ s o n ɡ,
baqir,b a ʔ i ɾ,
umzil,u m z i l,
gigo,ɡ i ɡ o,
mat,m a t,
araq,a ɾ a ʔ,
gamuk,ɡ a m u k,
bunmo,b u n m o,
daq,d a ʔ,
ginad,ɡ i n a d,
ahol,a h o l,
ta,t a,
haqad,h a ʔ a d,
