Категория,k a tʲ e ɡ o rʲ i j a,"<а>"
бути,b u tʲ i,"<б>"
весе,v j e sʲ e,"<в>"
лангс,l a n ɡ s,"<г>"
кода,k o d a,"<д>"
мерсь,m j e r sʲ,"<е>"
те,tʲ e,
истяжо,j i s tʲ a ʒ o,"<ж>"
Пазонь,p a z o nʲ,"<з>"
Иисус,j i j i s u s,"<и>"
ули,u lʲ i,
мейле,m j e j lʲ e,"<й>"
минек,m j i nʲ e k,"<к>"
ульнесь,u lʲ nʲ e sʲ,"<л>"
марто,m a r t o,"<м>"
сон,s o n,"<н>"
сонзэ,s o n z e,"<о>"
Пазось,p a z o sʲ,"<п>"
коряс,k o rʲ a s,"<р>"
эсь,e sʲ,"<с>"
тынк,t i n k,"<т>"
Кулозь,k u l o zʲ,"<у>"
фарисейтне,f a rʲ i sʲ e j t nʲ e,"<ф>"
Христос,x rʲ i s t o s,"<х>"
кемиця,k j e m j i tsʲ a,"<ц>"
Покшчить,p o k ʃ tʃ j i tʲ,"<ч>"
покш,p o k ʃ,"<ш>"
сынь,s i nʲ,"<ы>"
аволь,a v o lʲ,"<ь>"
кисэ,k j i s e,"<э>"
ютксо,j u t k s o,"<ю>"
эйзюрковонь,e j zʲ u r k o v o nʲ,
лия,lʲ i j a,"<я>"
ансяк,a n sʲ a k,
седе,sʲ e dʲ e,
тонавтницянзо,t o n a v t nʲ i tsʲ a n z o,
