"धार्मिक",d̪ʱ a r m i k ʌ,DENTALDHUH DIACRITICA RUH VIRAMA MUH DIACRITICI KUH
"खसमल्ल",kʰ ʌ s ʌ m ʌ l ː ʌ,KHUH SUH MUH LUH VIRAMA LUH
"गरी",ɡ ʌ r i,GUH RUH DIACRITICI
"दुर्घटना",d̪ u r ɡʱ ʌ ʈ ʌ n̪ a,DENTALDUH DIACRITICU RUH VIRAMA GHUH RETROFLEXTUH DENTALNUH DIACRITICA
"सङ्ग्रहित",s ʌ ŋ ɡ r ʌ ɦ i t̪ ʌ,SUH NGUH VIRAMA GUH VIRAMA RUH HUH DIACRITICI DENTALTUH
"चिनिन्छ",ts i n̪ i n̪ tsʰ ʌ,TSUH DIACRITICI DENTALNUH DIACRITICI DENTALNUH VIRAMA TSUH
"जनाको",dz ʌ n̪ a k o,DZUH DENTALNUH DIACRITICA KUH DIACRITICO
"सम्झौता",s ʌ m dzʱ au t̪ a,SUH MUH VIRAMA DZUH DIACRITICAU DENTALTUH DIACRITICA
"विज्ञान",w i dz n̪ a n̪ ʌ,WUH DIACRITICI DZUH VIRAMA DENTALNUH DIACRITICA DENTALNUH
"भेट",bʱ e ʈ ʌ,BHUH DIACRITICE RETROFLEXTUH
"बाँडफाँड",b ã ɖ ʌ pʰ ã ɖ ʌ,BUH DIACRITICA CANDRABINDU RETROFLEXDUH PHUH DIACRITICA CANDRABINDU RETROFLEXDUH
"ढोका",ɖʱ o k a,RETROFLEXDHUH DIACRITICO KUH DIACRITICA
"संरक्षण",s ʌ n̪ r ʌ k s ʌ n̪ ʌ,SUH SIRBINDU RUH KUH VIRAMA RETROFLEXSUH DENTALNUH
"तथा",t̪ ʌ t̪ʰ a,DENTALTUH DENTALTHUH DIACRITICA
"यस",j ʌ s ʌ,YUH SUH
"पञ्चकोशी",p ʌ n̪ ts ʌ k o s i,PUH DENTALNUH VIRAMA TSUH KUH DIACRITICO SHUH DIACRITICI
"अनुभव",ʌ n̪ u bʱ ʌ w ʌ,UH DENTALNUH DIACRITICU BHUH WUH
"आयोजना",a j o dz ʌ n̪ a,A YUH DIACRITICO DZUH DENTALNUH DIACRITICA
"दिइएको",d̪ i i e k o,DENTALDUH DIACRITICI I E KUH DIACRITICO
"अक्षरलाई",ʌ k s ʌ r ʌ l a i,UH KUH VIRAMA RETROFLEXSUH RUH LUH DIACRITICA I
"उच्च",u ts ː ʌ,UTSUH VIRAMA TSUH (ɡemination)
"स्याऊ",s j a u,SUH VIRAMA YUH DIACRITICA U
"ऋत",r i t̪ ʌ,RI DENTALTUH
"ऐतिहासिक",ai t̪ i ɦ a s i k ʌ,AI DENTALTUH DIACRITICI HUH DIACRITCA SUH DIACRITICI KUH
"ओगटेको",o ɡ ʌ ʈ e k o,O GUH RETROFLEXTUH DIACRITICE KUH DIACRITICO
"औ",au,AU
"कौ",k au,KUH DIACRITICAU not a real word
"कू",k u,KUH DIACRITICU not a real word
"कै",k ai,KUH DIACRITICAI not a real word
