tsínané,t̪s i ˦ n̪ a n̪ e ˦,
nijá,n̪ i h a ˦,
atsícaneíntagantsi,a t̪s i ˦ k a n̪ ei ˦ n̪ t̪ a ɡ a n̪ t̪s i,
baquiritsi,b a k i ɾ i t̪s i,
cajárá,k a h a ˦ ɾ a ˦,
caráanti,k a ɾ a ˦ ː n̪ t̪ i,
chábëníri,tʃ a ˦ b ɨ n̪ i ˦ ɾ i,
coshóri,k o ʃ o ˦ ɾ i,
chonchóguiri,tʃ o n̪ tʃ o ˦ ɡ i ɾ i,
emó,e m o ˦,
ibangui,i b a ŋ i,
igueí,i ɡ ei ˦,
iína,i ˦ ː n̪ a,
imoncarácaro,i m o ŋ k a ɾ a ˦ k a ɾ o,
përosati,p ɨ ɾ o s̪ a t̪ i,
yamai,j a m ai,
icanque,i k a ŋ k e,
matsiguenga,m a t̪s i ɡ e ŋ a,
quero,k e ɾ o, 
carari,k a ɾ a ɾ i,
omagaro,o m a ɡ a ɾ o,
antagaisati,a n̪ t̪ a ɡ ai s̪ a t̪ i,
basini,b a s̪ i n̪ i,
tojai,t̪ o h ai,
onganinate,o ŋ a n̪ i n̪ a t̪ e,
aro,a ɾ o,
saseriroti,s̪ a s̪ e ɾ i ɾ o t̪ i,
icanta,i k a n̪ t̪ a,
ironomire,i ɾ o n̪ o m i ɾ e,
oisha,oi ʃ a,
