"ଅବସ୍ଥିତ",ɔ b ɔ s t̪ʰ i t̪ ɔ,A BA SA HALANTA DENTALTHA DIACRITICI DENTALTA
"ହୋଇଥିବା",h o i t̪ʰ i b a,HA DIACRITICO I DENTALTHA DIACRITICI BA DIACRITICA
"ଈପିସରସ",i p i s ɔ ɾ ɔ s ɔ,I PA DIACRITICI SA RA SA
"ଯେଉଁଠାରେ",ɟ e ũ ʈʰ a ɾ e,JA DIACRITICE U NASAL RETROFLEXTHA DIACRITICA RA DIACRITICE
"ଊର୍ମିଳା",u ɾ m i ɭ a,U RA HALANTA MA DIACRITICI RETROFLEXLA DIACRITICA not a word but a name of an Uttar Pradeshi person
"ୠ",ɾ u,R couldn't find a real word
"ଌ",l u,L couldn't find a real word
"ୡ",l u,L couldn't find a real word
"ଏକ",e k ɔ,E KA
"ଐତିହାସିକ",ɔ i t̪ i h a s i k ɔ,AI DENTALTA DIACRITICI HA DIACRITICA SA DIACRITICI KA
"ଔପନ୍ୟାସିକ",ɔ u p ɔ n̪ j a s i k ɔ,AU PA DENTALNA HALANTA YA DIACRITICA SA DIACRITICI KA
"କୂ",k u,KA DIACRITICU couldn't find a real word
"କୈ",k ɔ i,KA DIACRITICAI couldn't find a real word
"କୌ",k ɔ u,KA DIACRITICAU
"ଖୋଲା",kʰ o l a,KHA DIACRITICO LA DIACRITICA
"ସ୍ଵାଗତ",s w a ɡ ɔ t̪ ɔ,SA HALANTA WA DIACRITICA GA DENTALTA
"ଘୋଷଣା",ɡʱ o s ɔ ɳ a,GHA DIACRITICO SA RETROFLEXNA DIACRITICA
"ପ୍ରସଙ୍ଗର",p ɾ ɔ s ɔ ŋ ɡ ɔ ɾ ɔ,PA HALANTA RA SA NGA HALANTA GA RA
"ଚାହୁଁଥିବା",c a h ũ t̪ʰ i b a,CA DIACRITICA HA DIACRITICU NASAL DENTALTHA DIACRITICI BA DIACRITICA
"ବଛା",b ɔ cʰ a,BA CHA DIACRITICA
"ଜଣା",ɟ ɔ ɳ a,JA RETROFLEXNA DIACRITICA
"ଝରି",ɟʱ ɔ ɾ i,JHA RA DIACRITICI
"ମଞ୍ଚ",m ɔ n̪ c ɔ,MA NJA HALANTA CA
"ଗୋଟି",ɡ o ʈ i,GA DIACRITICO RETROFLEXTA DIACRITICI
"ପୃଷ୍ଠାର",p ɾ u s ʈʰ a ɾ ɔ,PA DIACRITICR SA HALANTA RETROFLEXTHA DIACRITICA RA
"ଦେଉଥିବା",d̪ e u t̪ʰ i b a,DENTALDA DIACRITICE U DENTALTHA DIACRITICI BA DIACRITICA
"ଅଧିକ",ɔ d̪ʱ i k ɔ,A DENTALDHA DIACRITICI KA
"ଫାଇଲ",pʰ a i l ɔ,PHA DIACRITICA I LA
"ଶ୍ରୀବଳଭଦ୍ର",s ɾ i b ɔ ɭ ɔ bʱ ɔ d̪ ɾ ɔ,SA HALANTA RA DIACRITICI BA RETROFLEXLA BHA DENTALDA HALANTA RA
"ଏବଂ",e b ɔ m,E BA FINALM
"ଆଃ",a h,AA FINALH
"ଫରେି",pʰ ɔ ɾ ɔ i,
"ସଠାେ",s ɔ ʈʰ o,
