абана,a b a n a,"а"
лӕсӕг,l æ s æ ɡ,"ӕ"
бабыз,b a b ɨ z,"б"
авд,a v d,"в"
горӕт,ɡ o r æ t,"г"
гуырдзыстон,ɡʷ ɨ r dz ɨ s t o n,"гу"
гъог,ʁ o ɡ,"гъ"
аргъуан,a r ʁʷ a n,"гъу"
дӕндаг,d æ n d a ɡ,"д"
денджыз,d e n dʒ ɨ z,"дж"
дзуг,dz u ɡ,"дз"
ефс,e f s,"е"
змис,z m i s,"з"
игӕр,i ɡ æ r,"и"
айкӕ,a j k æ,"й"
калак,k a l a k,"к"
куыдз,kʷ ɨ dz,"ку"
къамбец,kʼ a m b e ts,"къ"
къуыри,kʷʼ ɨ r i,"къу"
лӕг,l æ ɡ,"л"
майрӕмбон,m a j r æ m b o n,"м"
ном,n o m,"н"
ирон,i r o n,"о"
поезд,p o e z d,"п"
пълан,pʼ l a n,"пъ"
расыг,r a s ɨ ɡ,"р"
сиахс,s i a χ s,"с"
тута,t u t a,"т"
стъалы,s tʼ a l ɨ,"тъ"
узун,u z u n,"у"
фарст,f a r s t,"ф"
хох,χ o χ,"х"
хуыцау,χʷ ɨ ts a u,"ху"
хъӕд,q æ d,"хъ"
тӕрхъус,t æ r qʷ s,"хъу"
цыхт,ts ɨ χ t,"ц"
арцъиу,a r tsʼ i u,"цъ"
чиныг,tʃ i n ɨ ɡ,"ч"
чъерами,tʃʼ e r a m i,"чъ"
уырыдзы,u ɨ r ɨ dz ɨ,"ы"
