gibiy,ɡ i b ij,
awna,aw n a,
akiw,a k iw,
nukamkayh,n u k a m k ãj,
wiwh,w ĩw,
dagawnka,d a ɡ aw n k a,
gitew,ɡ i t ew,
kabiman,k a b i m a n,
amin,a m i n,
nnaguh,n n a ɡ ũ,
isaksa,i s a k s a,
pohowku,p o h ow k u,
kadahan,k a d a h a n,
yakot,j a k o t,
kawa,k a w a,
parak,p a ɣ a k,
waxri,w a ʃ ɣ i,
hawkri,h aw k ɣ i,
miruk,m i ɣ u k,
mmahki,m m ã k i,
mpana,m p a n a,
humaw,h u m aw,
pariye,p a ɣ i j e,
numawhkig,n u m ãw k i ɡ,
nah,n ã,
awahkis,a w ã k i s,
keh,k ẽ,
kehne,k ẽ n e,
kawih,k a w ĩ,
gamnihra,ɡ a m n ĩ ɣ a,
gibohri,ɡ i b õ ɣ i,
gikannuhnipwi,ɡ i k a n n ũ n i p w i,
ayge,aj ɡ e,
hiwhka,h ĩw k a,
