acäsu,a k a ː s u,
agü,a q u ː,
callwash,k a ʎ w a ʃ,
goyru,q u j ɾ u,
lëtu,l i ː t u,
llacatu,ʎ a k a t u,
macwa,m a k w a,
mañüsa,m a ɲ u ː s a,
mogru,m u q ɾ u,
chïnu,tʃ i ː n u,
mishqui,m i ʃ k i,
chunca,tʃ u n k a,
shuntacasha,ʃ u n t a k a ʃ a,
kilömetru,k i l u ː m i t ɾ u,
llapan,ʎ a p a n,
ruquenga,ɾ u k i n q a,
caj,k a h,
guellayta,q i ʎ a j t a,
mana,m a n a,
niran,n i ɾ a n,
manami,m a n a m i,
caran,k a ɾ a n,
alli,a ʎ i,
runacuna,ɾ u n a k u n a,
nir,n i ɾ,
chay,tʃ a j,
juc,h u k,
caycan,k a j k a n,
ichanga,i tʃ a n q a,
