piru,p i r u,
mepune,m e p u n e,
beru,b e r u,
yaba,j a b a,
mbeye,ᵐb e j e,
wembune,w e ᵐb u n e,
mebuyi,m e b u j i,
namo,n a m o,
wita,w i t a,
awa,a w a,
ta,t a,
witu,w i t u,
da,d a,
sidu,s i d u,
ge,ɡ e,
sugado,s u ɡ a d o,
ndawo,ⁿd a w o,
anda,a ⁿd a,
ngu,ŋ u,
gingo,ɡ i ŋ o,
nu,n u,
nane,n a n e,
ngguru,ᵑɡ u r u,
sanggo,s a ᵑɡ o,
sako,s a k o,
nasa,n a s a,
hadaga,h a d a ɡ a,
aha,a h a,
roku,r o k u,
mere,m e r e,
keyi,k e j i,
wako,w a k o,
yangeni,j a ŋ e n i,
sarayi,s a r a j i,
sooporo,s ɔ p o r o,
sugabo,s u ɡ a b o,
koono,k ɔ n o,
ooso,ɔ s o,
moo,m ɔ,
