саха,s a x a,
Арассыыйа,a ɾ a s ː ɯ ː j a,
биир,b i ː ɾ,
алпабыыт,a l p a b ɯ ː t,
ардахтаа,a ɾ d a x t a ː,
аҕырыа,a ɣ ɯ ɾ ɯa,
аһаа,a h a ː,
бачыыҥка,b a cç ɯ ː ŋ k a,
бииккэ,b i ː k ː e,
остуол,o s t uo l,
килиэп,k i l ie p,
грамматика,ɡ ɾ a m ː a t i k a,
огнемёттарга,o ɡ n e m j o t ː a ɾ ɡ a,
уонна,uo n ː a,
өрүс,ø ɾ y s,
буолар,b uo l a ɾ,
курдук,k u ɾ d u k,
күнүгэр,k y n y ɡ e ɾ,
для,d l j a,
тохсунньу,t o x s u ɲ ː u,
адьарай,a ɟʝ a ɾ a j,
баһымньы,b a h ɯ m ɲ ɯ,
күөл,k yø l,
киһи,k i h i,
баар,b a ː ɾ,
сыл,s ɯ l,
сыллаахха,s ɯ l ː a ː x ː a,
турар,t u ɾ a ɾ,
улууһун,u l u ː h u n,
дойду,d o j d u,
