मेकोपुकी,m e k o p u k i,"क / k ----- BEGINNING OF CONSONANTS"
खोदेशो,kʰ o d̪ e ʃ o,"ख / kʰ"
गन्‍ती,ɡ a n t̪ i,"ग / ɡ"
ङोंइती,ŋ õ i t̪ i,"ङ / ŋ"
चहिं,tʃ a h ĩ,"च / tʃ"
जचा,dʒ a tʃ aː,"ज / dʒ"
मटीब,m a ʈ i b a,"ट / ʈ"
ठीक,ʈʰ i k a,"ठ / ʈʰ"
ङोंइती,ŋ õ i t̪ i,"त / t̪"
थमा,t̪ʰ a m aː,"थ / t̪ʰ"
दाऊद,d̪ aː uː d̪ a,"द / d̪"
निक्‍शी,n i k ʃ i,"न / n"
पिप,p i p a,"प / p"
निसाफ,n i s aː pʰ a,"फ / pʰ"
बाक्‍ब,b aː k b a,"ब / b"
मारदे,m aː ɾ a d̪ e,"म / m"
यावे,j aː w e,"य / j"
लोव़,l̪ o w a,"ल / l̪"
वारच,w aː ɾ a tʃ a,"व / w"
सम्‍म,s a m ː a,"स / s"
तशा,t̪ a ʃ aː,"श / ʃ"
हन्‍ना,h a n ː aː,"ह / h"
अर्को,a ɾ k o,"अ / a ----- BEGINNING OF VOWEL CHARACTERS"
आन,aː n a,"आ / aː"
पाइब,p aː i b a,"इ / i"
उत्‍पत्ती,u t̪ p a t̪ ː i,"उ / u"
दाऊदमी,d̪ aː uː d̪ a m i,"ऊ / uː"
एको,e k o,"ए / e"
ओटा,o ʈ aː,"ओ / o"
नेल्,n e l̪," ् / null ----- BEGINNING OF DIACRITICS"
पा,p aː," ा / aː"
रिम्‍शो,ɾ i m ʃ o," ि / i"
मुर,m u ɾ a," ु / u"
यहू,j a h uː," ू / uː"
मेको,m e k o," े / e"
खोदेशो,kʰ o d̪ e ʃ o," ो / o"
आं,ãː," ं / nasalizer"
नेए्ल,n e ʔ l̪ a,"glottal stop"
