ng'amba,ŋ ɑ ᵐb ɑ,"rules tested: ng' --> /ŋ/, a --> /ɑ/, mb --> /ᵐb/"
andikiza,ɑ ⁿd i k i z ɑ,"rules tested: nd --> /ⁿd/, k --> /k/ when there's no x after it, z --> /z/ when there's no n before it, i --> /i/ (passthrough)"
achali,ɑ tʃ ɑ l i,"rules tested: ch --> /tʃ/, l --> /l/ (passthrough)"
dhakari,ð ɑ k ɑ r i,"rules tested: dh --> /ð/, r --> /r/ (passthrough)"
andikiza,ɑ ⁿd i k i z ɑ,"rule tested: nd --> /ⁿd/"
hotuba,h ɔ t u b ɑ,"rules tested: h --> /h/ (passthrough), b --> /b/ (passthrough), u --> /u/ (passthrough), t --> /t/ when there's no h after"
jana,dʒ ɑ n ɑ,"rules tested: j --> /dʒ/, n --> /n/ when there's no g or d afterwards"
gae,ɡ ɑ ɛ,"rules tested: e --> /ɛ/, g --> /g/ when there's no n before it or h after it"
nyuki,ɲ u k i,"rule tested: n --> /ɲ/ when there's a y after"
kanga,k ɑ ᵑɡ ɑ,"rule tested: ng --> ᵑg"
neno,n ɛ n ɔ,"rules tested: n --> /n/ when it does not precede g or d, o --> /ɔ/"
shashimamishi,ʃ ɑ ʃ i m ɑ m i ʃ i,"rule tested: sh --> /ʃ/"
kisu,k i s u,"rule tested: s --> /s/ when there's no h after"
vivu,v i v u,"rule tested: v --> /v/ when there's no m preceding"
mzungu,m z u ᵑɡ u,"rule tested: z --> /z/ when there's no n in front"
khofu,x ɔ f u,"rule tested: kh --> /x/"
Lugha,l u ɣ ɑ,"rule tested: gh --> /ɣ/"
Thamani,θ ɑ m ɑ n i,"rule tested: th --> /θ/"
Yaya,j ɑ j ɑ,"rule tested: y --> /j/"
tii,t i i,"rule tested: collapsing of double vowel"
zaidi,z ɑ i d i,"rule tested: d --> /d/ (passthrough)"
hapa,h ɑ p ɑ,"rule tested: p --> /p/ (passthrough)"
ilikuwa,i l i k u w ɑ,"rule tested: w --> /w/ (passthrough)"
mvua,ᶬv u ɑ,"rule tested: mv --> /ᶬv/"
njia,ⁿdʒ i ɑ,"rule tested: nj --> /ⁿdʒ/"
kwanza,k w ɑ ⁿz ɑ,"rule tested: nz --> /ⁿz/"
