a'cchic,a ʔ k tʃ i k,
ā'huax,a ː ʔ w a ʃ,
caman,k a m a n,
cā'lakpūtīn,k a ː ʔ l a q p u ː t i ː n,
cucalhī't,k u k a ɬ i ː ʔ t,
chihuix,tʃ i w i ʃ,
jūqui',h u ː k i ʔ,
kalhatu'yūn,q a ɬ a t u ʔ j u ː n,
kalhtza'ni,q a ɬ ts a ʔ n i,
tzu'ma'jāt,ts u ʔ m a ʔ h a ː t,
xēnka,ʃ e ː n q a,
xcuti,ʃ k u t i,
xiquihuā't,ʃ i k i w a ː ʔ t,
tlakanū,tɬ a q a n u ː,
que,k e,
como,k o m o,
tasquiꞌnī,t a s k i ʔ n i ː,
pōꞌktu,p o ː ʔ q t u,
chuntzaꞌ,tʃ u n ts a ʔ,
lhuꞌcuꞌ,ɬ u ʔ k u ʔ,
lej,l e h,
aꞌnchī,a ʔ n tʃ i ː,
xlaꞌ,ʃ l a ʔ,
ūꞌtzaꞌ,u ː ʔ ts a ʔ,
na,n a,
huāꞌmāꞌ,w a ː ʔ m a ː ʔ,
palh,p a ɬ,
huaꞌchi,w a ʔ tʃ i,
quit,k i t,
nā,n a ː,
