nipxi,n i p ɕ i,
t'akt'a,tʼ a k tʼ a,
ts'alukunun,tsʼ a l u k u n u n,
malhkuyu',m a ɬ k u j u ʔ,
ja'alhna'xi,h a ʔ a ɬ n a ʔ ɕ i,
chawaway,tɕ a w a w a j,
chun,tɕ u n,
ts'o'otoj,tsʼ o ʔ o t o h,
sasan,s a s a n,
tank'axa,t a n kʼ a ɕ a,
ch'uch'u,tɕʼ u tɕʼ u,
stapu'alat,s t a p u ʔ a l a t,
aay,a ː j,
panch'e'ex,p a n tɕʼ e ʔ e ɕ,
lhamap'a'sin,ɬ a m a pʼ a ʔ s i n,
jatsukunti,h a ts u k u n t i,
xtaalhii'ayxto'nuncha,ɕ t a ː ɬ i ː ʔ a j ɕ t o ʔ n u n tɕ a,
lakaapuuts'isnicha,l a k a ː p u ː tsʼ i s n i tɕ a,
jantu,h a n t u,
laka,l a k a,
tu'u,t u ʔ u,
lapanakni,l a p a n a k n i,
lay,l a j,
wachu,w a tɕ u,
xamati,ɕ a m a t i,
uxitnan,u ɕ i t n a n,
yu'uncha,j u ʔ u n tɕ a,
chuncha,tɕ u n tɕ a,
masi,m a s i,
tanlhun,t a n ɬ u n,
