ad,a d̪,"<a>; <d>"
abrid,a b r̪ i d̪,"<b>; <r>; <i>"
ghef,ɣ i f,"<gh>; <e>; <f>"
lh'al,l̪ h ʕ a l̪,"<l>; apostrophe; <h>"
kan,k a n̪,"<k>; <n>"
ilaq,i l̪ a q,"<q>"
ma,m a,"<m>"
ur,u r̪,"<u>"
seg,s̪ i ɡ,"<s>; <g>"
tutlayt,t̪ u t̪ l̪ a j t̪,"<t>; <y>"
yiwen,j i w i n̪,"<w>"
tmazight,t̪ m a z̪ i ɣ t̪,"<z>"
nniḍen,n̪ ː i d̪ˤ i n̪,"<ḍ>"
lḥeqq,l̪ ħ i q ː,"<ḥ>"
idjehden,i d̪ ʒ i h d̪ i n̪,"<j>"
lateṛ,l̪ a t̪ i r̪ˤ,"<ṛ>"
ṣṣifa,s̪ˤ ː i f a,"<ṣ>"
aṭas,a t̪ˤ a s̪,"<ṭ>"
weẓru,w i z̪ˤ r̪ u,"<ẓ>"
ublaukhaus,u b l̪ a u x a u s̪,"<kh>"
yeshel,j i ʃ i l̪,"<sh>"
tegwnitt,t̪ i ɡʷ n̪ i t̪ ː,"<gw>"
iseggwasen,i s̪ i ɡʷ ː a s̪ i n̪,"<ggw>"
akw,a kʷ,"<kw>"
akkw,a kʷ ː,"<kkw>"
wekkham,w i x ː a m,"<kkh>"
sshala,ʃ ː a l̪ a,"<ssh>"
jeggh'en-ten,ʒ i ɣ ː ʕ i n̪ t̪ i n̪,"<ggh>"
yiseggasen,j i s̪ i ɡ ː a s̪ i n̪,
deffir,d̪ i f ː i r̪,
