ⴰⴷ,a d̪,"<ⴰ>; <ⴷ>"
ⵍⵎⵖⵔⵉⴱ,l̪ m ɣ r̪ i b,"<ⵍ>; <ⵎ>; <ⵖ>; <ⵔ>; <ⵉ>; <ⴱ>"
ⵉⴳ,i ɡ,"<ⴳ>"
ⵓⵎⴰⴹⴰⵍ,u m a d̪ˤ a l̪,"<ⵓ>; <ⴹ>"
ⴷⴻⴳ,d̪ i ɡ,"<ⴻ>"
ⵉⵣⵔⴼⴰⵏ,i z̪ r̪ f a n̪,"<ⵣ>; <ⴼ>; <ⵏ>"
ⴽⵔⴰ,k r̪ a,"<ⴽ>"
ⴱⴰⵀⵔⴰ,b a h r̪ a,"<ⵀ>"
ⵃⵓⵎⴰ,ħ u m a,"<ⵃ>"
ⵜⴰⵄⵔⴰⴱⵜ,t̪ a ʕ r̪ a b t̪,"<ⵜ>; <ⵄ>"
ⵉⵅⴼ,i x f,"<ⵅ>"
ⴰⵎⵇⵔⴰⵏ,a m q r̪ a n̪,"<ⵇ>"
ⵊⴰⵔ,ʒ a r̪,"<ⵊ>"
ⵜⵖⵓⵕⵉⵡⵉⵏ,t̪ ɣ u r̪ˤ i w i n̪,"<ⵕ>; <ⵡ>"
ⴰⴷⵍⵙⴰⵏ,a d̪ l̪ s̪ a n̪,"<ⵙ>"
ⴰⵟⴰⵙ,a t̪ˤ a s̪,"<ⵟ>"
ⴰⵟⵟⴰⵚ,a t̪ˤ ː a s̪ˤ,"<ⵚ>"
ⵎⴰⵛⴰ,m a ʃ a,"<ⵛ>"
ⴰⵢ,a j,"<ⵢ>"
ⵉⵥⵍⵉⵏ,i z̪ˤ l̪ i n̪,"<ⵥ>"
ⴰⴳⵯⵏⵙⴰⵏ,a ɡʷ n̪ s̪ a n̪,"<ⴳⵯ>"
ⴰⴽⵯ,a kʷ,"<ⴽⵯ>"
ⵓⵙⴳⴳⵯⴰⵙ,u s̪ ɡʷ ː a s̪,
ⴰⴽⴽⵯ,a kʷ ː,
ⵜⵓⵙⵙⵏⴰ,t̪ u s̪ ː n̪ a,
ⵎⴰⵕⵕⴰ,m a r̪ˤ ː a,
ⵉⵊⵊ,i ʒ ː,
ⵉⵇⵇⴰⵏ,i q ː a n̪,
ⵉⵍⵍⴰ,i l̪ ː a,
ⵖⵖⴰⵔⵏ,ɣ ː a r̪ n̪,
