awala,a w a l a,"a"
bunduki,b u ⁿd u k i,"b"
cingi,tʃ i ᵑɡ i,"tʃ"
diiki,d i i k i,"d"
eko,e k o,"e"
funfu,f u n f u,"f"
gaibu,ɡ a i b u,"ɡ"
irizi,i l i z i,"i"
maji,m a dʒ i,"dʒ"
kunola,k u n o l a,"k"
ladi,l a d i,"l"
mepo,m e p o,"m"
nsada,n s a d a,"n"
ofwe,o f w e,"o"
piyali,p i j a l i,"p"
raisi,l a i s i,"r"
sambi,s a ᵐb i,"s"
tamboru,t a ᵐb o l u,"t"
utope,u t o p e,"u"
vikwaku,v i k w a k u,"v"
ware,w a l e,"w"
yakafe,j a k a f e,"j"
zinku,z i n k u,"z"
chija,tʃ i dʒ a,"tʃ"
lembo,l e ᵐb o,"ᵐb"
malundi,m a l u ⁿd i,"ⁿd"
genge,ɡ e ᵑɡ e,"ᵑɡ"
mmang'a,m m a ŋ a,"ŋ"
kusinja,k u s i ⁿdʒ a,"ⁿdʒ"
nyuki,ɲ u k i,"ɲ"
kushukuru,k u ʃ u k u l u,"ʃ"
tífyoma,t i f j o m a,"í"
nîfyoma,n i f j o m a,"î"
wásaka,w a s a k a,"á"
wâsikizana,w a s i k i z a n a,"â"
