azad,ɑ z ɑ d̪,"a"
bılbıl,b ɨ l b ɨ l,"b"
cucek,dʒ ʊ dʒ ɜ k,"c"
çakuç,tʃ ɑ k ʊ tʃ,"ç"
dizd,d̪ i z d̪,"d"
esteri,ɜ s t̪ ɜ ɾ i,"e"
şimşêr,ʃ i m ʃ e ɾ,"ê"
feqet,f ɜ q ɜ t̪,"f"
gedug,ɡ ɜ d̪ ʊ ɡ,"g"
ğamık,ɣ ɑ m ɨ k,"ğ"
hêvi,h e v i,"h"
'her,ħ ɜ ɾ,"'h"
mıriçık,m ɨ ɾ i tʃ ɨ k,"ı"
ini,i n i,"i"
roj,ɾ o ʒ,"j"
keki,k ɜ k i,"k"
lewel,l ɜw ɜ l,"l"
şu'leyê,ʃ ʊ ɫ ɜj e,"'l"
filhano,f i ɫ ɑ n o,"lh"
maqam,m ɑ q ɑ m,"m"
nan,n ɑ n,"n"
omnon,o m n o n,"o"
pılpılık,p ɨ l p ɨ l ɨ k,"p"
qaloç,q ɑ l o tʃ,"q"
raye,ɾ ɑj ɜ,"r"
zerri,z ɜ r i,"rr"
semsiya,s ɜ m s i j ɑ,"s"
dü'si,d̪ u sˤ i,"'s"
ushira,ʊ sˤ i ɾ ɑ,"sh"
şeş,ʃ ɜ ʃ,"ş"
tut,t̪ ʊ t̪,"t"
millet'ta,m i l l ɜ t̪ t̪ˤ ɑ,"'t"
thowa,t̪ˤ o w ɑ,"th"
utu,ʊ t̪ ʊ,"u"
lû,l u,"û"
xü,x u,"ü"
vawr,v ɑw ɾ,"v"
welew,w ɜ l ɜw,"w"
xox,x o x,"x"
yasemin,j ɑ s ɜ m i n,"y"
zebeşe,z ɜ b ɜ ʃ ɜ,"z"
xoce'y,x o dʒ ɜ ʕ j,"apostrophe"
