pikwɨ,p i k w ɘ,
kakwɨ',k a k w ɘ ʔ,
abia',a ᵐb i a ʔ,
mɨ'rɨxɨ',m ɘ ʔ ɾ ɘ x ɘ ʔ,
naguyikɨ',n a ᵑɡ u j i k ɘ ʔ,
samɨŋɨ',s a m ɘ ŋ ɘ ʔ,
jiŋwɨ',ⁿdz i ŋ w ɘ ʔ,
dɨŋɨ',ⁿd ɘ ŋ ɘ ʔ,
barusɨ',ᵐb a ɾ u s ɘ ʔ,
re,ɾ e,
nionɨ,n i o n ɘ,
tɨ'nɨ,t ɘ ʔ n ɘ,
a'ma',a ʔ m a ʔ,
da'nɨ,ⁿd a ʔ n ɘ,
enɨ,e n ɘ,
wi',w i ʔ,
xwɨyɨ'a',x w ɘ j ɘ ʔ a ʔ,
bɨ,ᵐb ɘ,
ayɨ',a j ɘ ʔ,
urɨŋɨnigɨnɨ,u ɾ ɘ ŋ ɘ n i ᵑɡ ɘ n ɘ,
eŋagɨ,e ŋ a ᵑɡ ɘ,
xegɨ',x e ᵑɡ ɘ ʔ,
sɨŋwɨ',s ɘ ŋ w ɘ ʔ,
ai',a i ʔ,
rɨxa,ɾ ɘ x a,
aŋɨ',a ŋ ɘ ʔ,
a'mɨ,a ʔ m ɘ,
arɨ'a',a ɾ ɘ ʔ a ʔ,
nerɨ,n e ɾ ɘ,
apɨ,a p ɘ,
