аҳамҭа,a ħ a m t a,"а"
бжьба,b ʒʲ b a,"б"
ваза,v a z a,"в"
абгаду,a b ɡ a d w,"г"
адгьыл,a d ɡʲ ə l,"гь"
агәы,a ɡʷ ə,"гә"
аӷу,a ʁ w,"ӷ"
адаӷь,a d a ʁʲ,"ӷь"
аӷәӷәа,a ʁʷ ʁʷ a,"ӷә"
дада,d a d a,"д"
адәқьан,a dʷ kʲ a n,"дә"
аметан,a m a tʼ a n,"е"
ажакьа,a ʒ a kʲʼ a,"ж"
ажьы,a ʒʲ ə,"жь"
жәохә,ʒʷ a χʷ,"жә"
абзиа,a b z j a,"з"
аӡын,a dz ə n,"ӡ"
#аӡәыцәи,a dzʷ ə tsʷ j,"ӡә"
аиааира,a j a a j r a,"и"
акаҳуа,a kʼ a ħ w a,"к"
ажакьа,a ʒ a kʲʼ a,"кь"
ашкәакәа,a ʃ kʷʼ a kʷʼ a,"кә"
ақуҧш,a k w p ʃ,"қ"
ақалақь,a k a l a kʲ,"қь"
ақәа,a kʷ a,"қә"
аҟны,a qʼ n ə,"ҟ"
иахҟьаны,j a χ qʲʼ a n ə,"ҟь"
ашәҟәы,a ʃʷ qʷʼ ə,"ҟә"
лара,l a r a,"л"
амш,a m ʃ,"м"
нанҳәа,n a n ħʷ a,"н"
ақәоура,a kʷ a w r a,"о"
аплиаж,a pʼ l j a ʒ,"п"
ацаԥха,a ts a p χ a,"ԥ"
арашәара,a r a ʃʷ a r a,"р"
асааҭ,a s a a t,"с"
аметил,a m a tʼ j l,"т"
атәыла,a tʷʼ ə l a,"тә"
иҭабуп,j t a b w pʼ,"ҭ"
ихаҭәаау,j χ a tʷ a a w,"ҭә"
уаха,w a χ a,"у"
афы,a f ə,"ф"
ахаҿы,a χ a tʃʼ ə,"х"
ахьы,a χʲ ə,"хь"
ахәаша,a χʷ a ʃ a,"хә"
аҳаир,a ħ a j r,"ҳ"
абҳәа,a b ħʷ a,"ҳә"
ацара,a ts a r a,"ц"
#цәыббра,tsʷ ə b b r a,"цә"
аҵла,a tsʼ l a,"ҵ"
#аҵәца,a tsʷʼ ts a,"ҵә"
ача,a tʃʲ a,"ч"
аҷарам,a tʃʲʼ a r a m,"ҷ"
аҽада,a tʃ a d a,"ҽ"
аҿы,a tʃʼ ə,"ҿ"
аҩаша,a ʡ a ʃ a,"ш"
ашьа,a ʃʲ a,"шь"
шәара,ʃʷ a r a,"шә"
ҧхынгәы,p χ ə n ɡʷ ə,"ы"
ҩба,ʡ b a,"ҩ"
џон,dʒ a n,"џ"
аџьыка,a dʒʲ ə kʼ a,"џь"
