con,k o n, c goes to /k/; o goes to /o/; n goes to /n/
d'o,d̪ o, d goes to /d̪/; apostrophes do not affect pronunciation
ha,a,h is silent; a goes to /a/
rechión,r e tʃ i o n, r goes to /r/ word initially; e goes to /e/; ch goes to /tʃ/; i goes to /i/
sieglo,s i e ɡ l o,s goes to /s/; g goes to /g/; l goes to /l/
por,p o ɾ,p goes to /p/; r goes to /ɾ/
realidat,r e a l i d̪ a t̪, t goes to /t̪/
municipio,m u n i θ i p i o,m goes to /m/; u goes to /u/; c goes to /θ/ before front vowels
qui,k i, qu goes to /k/ before i
luita,l u i t̪ a,
quan,k u a n, qu goes to /ku/ before a
situata,s i t̪ u a t̪ a,
fuoron,f u o ɾ o n, f goes to /f/
provincia,p ɾ o b i n θ i a, v goes to /b/
ixo,i ʃ o, x goes to /ʃ/
y,i, y goes to /i/ in isolation
ye,ʝ e, y typically goes to /ʝ/
diz,d̪ i θ, z goes to /θ/
guaire,ɡ u a i ɾ e, gu goes to /gu/ before a
lingüistica,l i n ɡ u i s t̪ i k a, gü goes to /gu/ before i
millor,m i ʎ o ɾ, ll goes to /ʎ/
diz,d̪ i θ, z goes to /θ/
l'anyo,l a ɲ o, ny goes /ɲ/
conseqüencia,k o n s e k u e n θ i a, qü goes to /ku/ before e
sobre,s o b ɾ e, b goes to /b/
arredol,a r e d̪ o l, rr goes to /r/
totz,t̪ o θ, tz goes to /θ/
