mae,m ae,"<a>"
bogo,b o ɡ o,"<b>"
uëvadeje,uæ v a d e dʒ e,"<d>"
hesi,h e s i,"<e>"
ëhi,æ h i,"<ë>"
gö,ɡ ɔ,"<g>"
höjo,h ɔ dʒ o,"<h>"
jabesi,dʒ a b e s i,"<i>"
jöho,dʒ ɔ h o,"<j>"
ekaresia,e k a ɾ e s ia,"<k>"
mu,m u,"<m>"
na,n a,"<n>"
aho'obëhe,a h o ʔ o b æ h e,"<o>"
aribövioho,a ɾ i b ɔ v io h o,"<ö>"
raje,ɾ a dʒ e,"<r>"
sisë,s i s æ,"<s>"
bapataeto,b a p a t ae t o,"<t>"
guomo,ɡ uo m o,"<g>"
uvareje,u v a ɾ e dʒ e,"<v>"
aru'aho,a ɾ u ʔ a h o,"apostrophe"
avoho,a v o h o,
böröme,b ɔ ɾ ɔ m e,
ëhuni,æ h u n i,
huro,h u ɾ o,
rueromo,ɾ ue ɾ o m o,
evare,e v a ɾ e,
eni,e n i,
a'i,a ʔ i,
jioromo,dʒ io ɾ o m o,
