ahnohpyry,a ʔ n o ʔ p ɨ ɾ ɨ,
ahpĩko,a ʔ p ĩ k o,
amõko,a m õ k o,
akyry,a k ɨ ɾ ɨ,
amaro,a m a ɾ o,
enaroximary,e n a ɾ o ʃ i m a ɾ ɨ,
enaromyra,e n a ɾ o m ɨ ɾ a,
enepỹme,e n e p ɨ̃ m e,
ẽnõko,ẽ n õ k o,
epo,e p o,
hkoty,ʔ k o t ɨ,
htae,ʔ t a e,
ipakomo,i p a k o m o,
inyrihpyry,i n ɨ ɾ i ʔ p ɨ ɾ ɨ,
iparunun,i p a ɾ u n u n,
inũme,i n ũ m e,
isawany,i s a w a n ɨ,
isãtajany,i s ã t a j a n ɨ,
juru,j u ɾ u,
moino,m o i n o,
moky,m o k ɨ,
oryxiry,o ɾ ɨ ʃ i ɾ ɨ,
osema,o s e m a,
osemazuhme,o s e m a z u ʔ m e,
peze,p e z e,
poeto,p o e t o,
