alepeinu,ɑ l ɛ p ɛ i n u,
aluaxa,ɑ l u ɑ x ɑ,
inavate,i n ɑ β ɑ t ɛ,
kaalaua,k ɑ ː l ɑ u ɑ,
kapiilaxu,k ɑ p i ː l ɑ x u,
koolou,k o ː l o u,
la'ilali,l ɑ ʔ i l ɑ l i,
lelemesou,l ɛ l ɛ m ɛ s o u,
ngongoli,ŋ o ŋ o l i,
xalee,x ɑ l ɛ ː,
tauu,t ɑ u ː,
lexe,l ɛ x ɛ,
noxou,n o x o u,
mitema,m i t ɛ m ɑ,
uasi,u ɑ s i,
aloxo,ɑ l o x o,
ane'i,ɑ n ɛ ʔ i,
vile,β i l ɛ, 
eni,ɛ n i,
xe,x ɛ,
noxi'a,n o x i ʔ ɑ,
itema,i t ɛ m ɑ,
loxo,l o x o,
ngingi,ŋ i ŋ i,
laixe,l ɑ i x ɛ,
ia,i ɑ,
manina,m ɑ n i n ɑ,
mii,m i ː, 
vaikala,β ɑ i k ɑ l ɑ,
mulai,m u l ɑ i,
