allpaqa,a ʎ p a q a,"a"
mä,m a ː,"ä"
achichi,a tʃ i tʃ i,"ch"
wichhu,w i tʃʰ u,"chh"
ch'aqa,tʃʼ a q a,"ch'"
khiti,kʰ i t i,"i"
sarakïnwa,s a ɾ a k i ː n w a,"ï"
jiwasa,x i w a s a,"j"
kimsa,k i m s a,"k"
khunu,kʰ u n u,"kh"
k'usa,kʼ u s a,"k'"
wila,w i l a,"l"
palla,p a ʎ a,"ll"
malku,m a l k u,"m"
nina,n i n a,"n"
qamaña,q a m a ɲ a,"ñ"
pampa,p a m p a,"p"
phucha,pʰ u tʃ a,"ph"
lap'a,l a pʼ a,"p'"
qullcha,q u ʎ tʃ a,"q"
manqha,m a n qʰ a,"qh"
q'ala,qʼ a l a,"q'"
warawara,w a ɾ a w a ɾ a,"r"
suxta,s u χ t a,"s"
tunka,t u n k a,"t"
utha,u tʰ a,"th"
t'ant'a,tʼ a n tʼ a,"t'"
uru,u ɾ u,"u"
sapür,s a p u ː ɾ,"ü"
wawa,w a w a,"w"
phaxsi,pʰ a χ s i,"x"
naya,n a j a,"y"
