arxasında,ɑ ɾ x ɑ s ɯ n d ɑ,"a"
boşqab,b o ʃ ɡ ɑ b,"b"
cücü,dʒ y dʒ y,"c"
çiçək,tʃ i tʃ æ k,"ç"
dodaq,d o d ɑ ɡ,"d"
ekssentrik,e k s s e n t ɾ i k,"e"
dəfə,d æ f æ,"ə"
fəlsəfə,f æ l s æ f æ,"f"
güzgü,ɟ y z ɟ y,"g"
çağ,tʃ ɑ ɣ,"ğ"
həmsöhbət,h æ m s œ h b æ t,"h"
xoşbəxt,x o ʃ b æ x t,"x"
fırtına,f ɯ ɾ t ɯ n ɑ,"ı"
igidlik,i ɟ i d l i k,"i"
jüri,ʒ y ɾ i,"j"
kubok,k u b o k,"k"
qapmaq,ɡ ɑ p m ɑ ɡ,"q"
ləzzətli,l æ z z æ t l i,"l"
mütərkim,m y t æ ɾ k i m,"m"
neyçün,n e j tʃ y n,"n"
osminoq,o s m i n o ɡ,"o"
öpüş,œ p y ʃ,"ö"
pota,p o t ɑ,"p"
rejissor,ɾ e ʒ i s s o ɾ,"r"
siyasət,s i j ɑ s æ t,"s"
tamaşa,t ɑ m ɑ ʃ ɑ,"ş"
tırtıl,t ɯ ɾ t ɯ l,"t"
uçurum,u tʃ u ɾ u m,"u"
tülkü,t y l k y,"ü"
vağzal,v ɑ ɣ z ɑ l,"v"
yaylaq,j ɑ j l ɑ ɡ,"y"
ziyansız,z i j ɑ n s ɯ z,"z"
