apat,a p a t,"a"
atibangaw,a t i b a ŋ au,"aw"
gulay,ɡ u l ai,"ay"
bubon,b u b u n,"b"
daguldol,d a ɡ u l d u l,"d"
kengke,k i ŋ k i,"e"
gusok,ɡ u s u k,"g"
hagahag,h a ɡ a h a ɡ,"h"
kiri,k i ɾ i,"i"
ariw,a ɾ iu,"iw"
kuko,k u k u,"k"
lalaki,l a l a k i,"l"
mampak,m a m p a k,"m"
nana,n a n a,"n"
ngunyan,ŋ u n j a n,"ng"
ido,i d u,"o"
laboy,l a b ui,"oy"
papel,p a p i l,"p"
ribo,ɾ i b u,"r"
sebolyas,s i b u l j a s,"s"
tatay,t a t ai,"t"
utang,u t a ŋ,"u"
wikwik,ʋ i k ʋ i k,"w"
yating,j a t i ŋ,"y"
iba-ibang,i b a ʔ i b a ŋ,"punctuation as glottal stop"
laog,l a ʔ u ɡ,"intervocalic glottal stop"
