babaga,b a b a ɡ a,
bwalu,bʷ a l u,
bwa'omatan,bʷ a ʔ o m a t a n,
dana,d a n a,
gimwane,ɡ i mʷ a n e,
losahwasahwa,l o s a hʷ a s a hʷ a,
'ahusu'wa,ʔ a h u s u ʔʷ a,
lohegwatu,l o h e ɡʷ a t u,
pwatana,pʷ a t a n a,
sani,s a n i,
tohekalesiyao,t o h e k a l e s i j a o,
paihowa,p a i h o w a,
'itahesahe,ʔ i t a h e s a h e,
'iwa,ʔ i w a,
kihi,k i h i,
kululu,k u l u l u,
hwata,hʷ a t a,
nabu'a,n a b u ʔ a,
nage,n a ɡ e,
nima,n i m a,
nimagui,n i m a ɡ u i,
gadowa,ɡ a d o w a,
gegela,ɡ e ɡ e l a,
geya,ɡ e j a,
geya'abwa,ɡ e j a ʔ a bʷ a,
gimwasabu,ɡ i mʷ a s a b u,
gita'i,ɡ i t a ʔ i,
gitoho,ɡ i t o h o,
mala'u'u,m a l a ʔ u ʔ u,
manasama,m a n a s a m a,
mane,m a n e,
me,m e,
mayale,m a j a l e,
labiya,l a b i j a,
lagahe,l a ɡ a h e,
laba,l a b a,
libe,l i b e,
liga,l i ɡ a,
ligeya,l i ɡ e j a,
pa'i,p a ʔ i,
papa,p a p a,
pasa,p a s a,
piyoi,p i j o i,
pou,p o u,
pulina,p u l i n a,
sada,s a d a,
sapaila,s a p a i l a,
sasasaina,s a s a s a i n a,
seliseli,s e l i s e l i,
sesebwaini,s e s e bʷ a i n i,
Ciwa,ʔ i w a,"using uppercase form of <'iwa>",
CAHUSUCWA,ʔ a h u s u ʔʷ a,"using uppercase form of <'ahusu'wa>",
