іншаземец,j i n ʃ a zʲ ɛ mʲ ɛ ts,
абавязковы,a b a vʲ a z k o v i,
бавоўна,b a v o u n a,
бессмяротны,bʲ ɛ sʲ ː mʲ a r o t n i,
будаванне,b u d a v a nʲ ː ɛ,
вядома,vʲ a d o m a,
гадзіннік,ɣ a dzʲ i nʲ ː i k,
Дар'я,d a r j a,
дзесьці,dzʲ ɛ sʲ tsʲ i,
дзесяцігоддзе,dzʲ ɛ sʲ a tsʲ i ɣ o dzʲ ː ɛ,
жывёла,ʒ i vʲ o l a,
жыццё,ʒ i tsʲ ː o,
заўсёды,z a u sʲ o d i,
князь,k nʲ a zʲ,
любоў,lʲ u b o u,
мінулае,mʲ i n u l a j ɛ,
прыгажун,p r i ɣ a ʒ u n,
спакой,s p a k o j,
Францыі,f r a n ts i j i,
дух,d u x,
час,tʃ a s,
што,ʃ t o,
гэта,ɣ ɛ t a,
паходжання,p a x o dʒ a nʲ ː a,
баяцца,b a j a ts ː a,
коцса,k o ts s a,"test nonce word"
мітцо,mʲ i t ts o,"test nonce word"
басса,b a s ː a,"test nonce word"
мітчо,mʲ i t tʃ o,"test nonce word"
сярэднявечча,sʲ a r ɛ d nʲ a vʲ ɛ tʃ ː a,
башша,b a ʃ ː a,"test nonce word"
