akaluya'a,ɑ k ɑ ɭ u j ɑ ʔ ɑ,"a"
bi'ehibe,ɸ i ʔ e h i ɸ e,"b"
etehi,e t e h i,"e"
falu'afu,f ɑ ɭ u ʔ ɑ f u,"f"
gegisa,ɣ e ɣ i s ɑ,"g"
hepuhi,h e p u h i,"h"
ikini,i k i n i,"i"
ki'onaka,k i ʔ o n ɑ k ɑ,"k"
le'ali,ɭ e ʔ ɑ ɭ i,"l"
meme'a,m e m e ʔ ɑ,"m"
nasana,n ɑ s ɑ n ɑ,"n"
logo,ɭ o ɣ o,"o"
hepuya,h e p u j ɑ,"p"
gesese,ɣ e s e s e,"s"
kota,k o t ɑ,"t"
fulugu,f u ɭ u ɣ u,"u"
foya,f o j ɑ,"y"
ka'moto,k ɑ ʔ m o t o,"apostrophe"
bati,ɸ ɑ t i,
kaga,k ɑ ɣ ɑ,
mone,m o n e,
lenali,ɭ e n ɑ ɭ i,
hu,h u,
kumu,k u m u,
ni'ibe,n i ʔ i ɸ e,
suhi,s u h i,
ho,h o,
nani,n ɑ n i,
keheli,k e h e ɭ i,
sipi,s i p i,
