абазията,a b a z i j a t a,"а"
бобър,b o b ɤ r,"b"
вдишва,v d i ʃ v a,"в"
глагол,ɡ ɫ a ɡ o ɫ,"г"
дадено,d a d e n o,"д"
ебете,e b e t e,"е"
жажда,ʒ a ʒ d a,"ж"
заляза,z a ɫ j a z a,"з"
избиращи,i z b i r a ʃ tʃ i,"и"
калай,k a ɫ a j,"й"
корейки,k o r e j k i,"к"
лъгал,ɫ ɤ ɡ a ɫ,"л"
мажем,m a ʒ e m,"м"
нанесен,n a n e s e n,"н"
обковано,o b k o v a n o,"о"
пепел,p e p e ɫ,"п"
разпростре,r a z p r o s t r e,"р"
спася,s p a s j a,"с"
тичате,t i tʃ a t e,"т"
умри,u m r i,"у"
фосфор,f o s f o r,"ф"
ходех,x o d e x,"х"
царица,ts a r i ts a,"ц"
чичо,tʃ i tʃ o,"ч"
шиеш,ʃ i e ʃ,"ш"
щука,ʃ tʃ u k a,"щ"
ъгъл,ɤ ɡ ɤ ɫ,"ъ"
шофьор,ʃ o f j o r,"ь"
юнак,j u n a k,"ю"
ядял,j a d j a ɫ,"я"
