ahcówa,a ˨ ʔ kʰ o ˦ kp a ˨,"a"
ájɨ́vaá,a ˦ x ɨ ˦ β a ˨ a ˦,"á"
bahbábya,p a ˨ ʔ p a ˦ p j a ˨,"b"
cácóroáco,kʰ a ˦ kʰ o ˦ ɾ o ˨ a ˦ kʰ o ˨,"c"
cáchachááve,kʰ a ˦ tʃʰ a ˨ tʃʰ a ˦ ː β ɛ ˨,"ch"
dɨ́hdahɨ́ɨ́ve,t ɨ ˦ ʔ t a ˨ ʔ ɨ ˦ ː β ɛ ˨,"d"
dsɨhdsɨ,ts ɨ ˨ ʔ ts ɨ ˨,"ds"
ehdɨ́ɨ́valle,ɛ ˨ ʔ t ɨ ˦ ː β a ˨ tʃ ɛ ˨,"e"
éénimyéi,ɛ ˦ ː n i ˨ m j ɛ ˦ i ˨,"é"
guñágúña,k ɯ ˨ ɲ a ˦ k ɯ ˦ ɲ a ˨,"g"
hallúhcu,ʔ a ˨ tʃ ɯ ˦ ʔ kʰ ɯ ˨,"h"
ijchi,i ˨ x tʃʰ i ˨,"i"
íjpií,i ˦ x pʰ i ˨ i ˦,"í"
ɨɨcúhájtsɨ,ɨ ˨ ː kʰ ɯ ˦ ʔ a ˦ x tsʰ ɨ ˨,"ɨ"
ɨ́dsɨ́dúelle,ɨ ˦ ts ɨ ˦ t ɯ ˦ ɛ ˨ tʃ ɛ ˨,"ɨ́"
joúhjóu,x o ˨ ɯ ˦ ʔ x o ˦ ɯ ˨,"j"
kíkííjyeba,kʰ i ˦ kʰ i ˦ ː x j ɛ ˨ p a ˨,"k"
llalláva,tʃ a ˨ tʃ a ˦ β a ˨,"ll"
máriímu,m a ˦ ɾ i ˨ i ˦ m ɯ ˨,"m"
naanííva,n a ˨ ː n i ˦ ː β a ˨,"n"
áñiíñi,a ˦ ɲ i ˨ i ˦ ɲ i ˨,"ñ"
ojójco,o ˨ x o ˦ x kʰ o ˨,"o"
ómóniúúve,o ˦ m o ˦ n i ˨ ɯ ˦ ː β ɛ ˨,"ó"
pájpacyo,pʰ a ˦ x pʰ a ˨ kʰ j o ˨,"p"
raaráve,ɾ a ˨ ː ɾ a ˦ β ɛ ˨,"r"
téévetúne,tʰ ɛ ˦ ː β ɛ ˨ tʰ ɯ ˦ n ɛ ˨,"t"
tsáhojtsɨ,tsʰ a ˦ ʔ o ˨ x tsʰ ɨ ˨,"ts"
uuhɨ́nu,ɯ ˨ ː ʔ ɨ ˦ n ɯ ˨,"u"
ɨ́búúcuú,ɨ ˦ p ɯ ˦ ː kʰ ɯ ˨ ɯ ˦,"ú"
vitíívye,β i ˨ tʰ i ˦ ː β j ɛ ˨,"v"
waapéwa,kp a ˨ ː pʰ ɛ ˦ kp a ˨,"w"
yuuyúho,j ɯ ˨ ː j ɯ ˦ ʔ o ˨,"y"
