maata,m a t a,"a"
buku,b u k u,"b"
cèla',c ɵ l a ʔ,"c"
tuudang,t u d a ŋ,"d"
bale,b a l e,"e"
maega,m a e ɡ a,"g"
hawang,h a w a ŋ,"h"
idi',i d i ʔ,"i"
jantung,ɟ a n t u ŋ,"j"
kudaara,k u d a r a,"k"
liila,l i l a,"l"
mandre,m a n d r e,"m"
naange,n a ŋ e,"n"
liino,l i n o,"o"
poko,p o k o,"p"
dara,d a r a,"r"
èsoo,ɵ s o,"s"
tindro,t i n d r o,"t"
daung,d a u ŋ,"u"
waai,w a i,"w"
yamanèng,j a m a n ɵ ŋ,"y"
èngka,ɵ ŋ k a,"è"
se'di,s e ʔ d i,"glottal stop"
daging,d a ɡ i ŋ,"ng"
mènyunyu,m ɵ ɲ u ɲ u,
iyee,i j e,"long e"
aaga,a ɡ a,"long a"
yaroo,j a r o,"long o"
iiga,i ɡ a,"long i"
potto,p o t ː o,"geminate t"
babba,b a b ː a,"geminate b"
coddo,c o d ː o,"geminate d"
cappa,c a p ː a,"geminate p"
posso,p o s ː o,"geminate s"
ajja,a ɟ ː a,"geminate ɟ"
