bugula,b u ɡ u l a,
del,ɖ e l,
joborr,ɟ o b o r,
yerrcha,j e r c a,
gun-jong,ɡ u n ɟ o ŋ,
bokpurra,b o k p u r a,
wakwak,w a k w a k,
ngulamngulam,ŋ u l a m ŋ u l a m,
gungarlcha,ɡ u ŋ a ɭ c a,
gungunyja,ɡ u ŋ u ɲ ɟ a,
geka,ɡ e k a,
waya,w a j a,
burraya,b u r a j a,
ngardapa,ŋ a ɖ a p a,
arlay,a ɭ a j,
mernda,m e ɳ ɖ a,
an-guyinda,a n ɡ u j i n d a,
gun-gata,ɡ u n ɡ a t a,
a-workiya,a w o ɽ k i j a,
gurrurta,ɡ u r u ʈ a,
marn'gi,m a ɳ ɡ i,
delipa,ɖ e l i p a,
nipa,ɳ i p a,
lika,ɭ i k a,
ngaypa,ŋ a j p a,
birripa,b i r i p a,
ana-goyburrpa,a n a ɡ o j b u r p a,
jarra,ɟ a r a,
janguny,ɟ a ŋ u ɲ,
a-wena,a w e n a,
