Бурханай,b u r x a n ai,"<а>"
байгаа,b ai ɡ a ː,"<б>"
нэгэ,n ɘ ɡ ɘ,"<г>"
Дээдын,d ɘ ː d i n,"<д>"
ехэ,j ɘ x ɘ,"<е>"
хоёр,x o j o r,"<ё>"
гэжэ,ɡ ɘ ʒ ɘ,"<ж>"
зон,z o n,"<з>"
би,b i,"<и>"
байһан,b ai ɦ a n,"<й>"
хэлэбэ,x ɘ l ɘ b ɘ,"<л>"
юм,j u m,"<м>"
хүн,x ʉ n,"<н>"
олон,o l o n,"<о>"
түлѳѳ,t ʉ l ɵ ː,"<ѳ>"
өөхэн,ɵ ː x ɘ n,"<ө> (variation of ѳ)"
тэрэ,t ɘ r ɘ,"<р>"
соо,s o ː,"<с>"
тухай,t u x ai,"<т>"
Иисус,i ː s u s,"<у>"
бүхы,b ʉ x i,"<ү>"
харин,x a r i n,"<х>"
бэшэ,b ɘ ʃ ɘ,"<ш>"
байгты,b ai ɡ t i,"<ы>"
Тиихэдэнь,t i ː x ɘ d ɘ nʲ,"<ь>"
тэрэнэй,t ɘ r ɘ n ei,"<э>"
юумэ,j u ː m ɘ,"<ю>"
һэн,ɦ ɘ n,"<һ>"
зоной,z o n oi,
гуйба,ɡ ui b a,
аргагүй,a r ɡ a ɡ ʉi,
