parana,p a ɽ a n a,"a"
ikarai'pa,i k a ɽ ai ʔ p a,"ai"
mamau,m a m au,"au"
irombo,i ɽ o ŋ p o,"b"
e'merepy,e ʔ m e ɽ e p ɨ,"e"
iku'mei'pa,i k u ʔ m ei ʔ p a,"ei"
gardeny,k a ɽ t e n ɨ,"g"
ikiririky'pa,i k i ɽ i ɽ i k ɨ ʔ p a,"i"
jajonto,j a j o ŋ t o,"j"
kekeika,k e k ei k a,"k"
mi'mamy,m i ʔ m a m ɨ,"m"
na'nen,n a ʔ n e ŋ,"n"
koro'po,k o ɽ o ʔ p o,"o"
orukoimo,o ɽ u k oi m o,"oi"
paipa,p ai p a,"p"
ra'kere,ɽ a ʔ k e ɽ e,"r"
sese'wu,s e s e ʔ w u,"s"
tajataja,t a j a t a j a,"t"
kurumu,k u ɽ u m u,"u"
paruruipo,p a ɽ u ɽ ui p o,"ui"
kawiwi,k a w i w i,"w"
myrypy,m ɨ ɽ ɨ p ɨ,"y"
kyryi,k ɨ ɽ ɨi,"yi"
ta'we'ke,t a ʔ w e ʔ k e,"apostrophe"
