ya,j a,"<a>"
más,m a s,"<á>"
habla,a b l a,"<b>"
con,k o n,"<c> before non-front vowel"
ciudad,s i u d̪ a d̪,"<c> before front vowel"
mucho,m u ts o,"<ch>"
dale,d̪ a l e,"<d>"
el,e l,"<e>"
también,t̪ a m b i e n,"<é>"
maga,m a ɡ a,"<g> before non-front vowel"
región,ɾ e h i o n,"<g> before front vowel"
hace,a s e,"<h>"
di,d̪ i,"<i>"
así,a s i,"<í>"
junto,h u n t̪ o,"<j>"
anak,a n a k,"<k>"
los,l o s,"<l>"
llega,ʎ e ɡ a,"<ll>"
como,k o m o,"<m>"
entre,e n t̪ ɾ e,"<n>"
lang,l a ŋ,"<ng>"
años,a ɲ o s,"<ñ>"
por,p o ɾ,"<o>"
población,p o b l a s i o n,"<ó>"
puede,p u e d̪ e,"<p>"
para,p a ɾ a,"<r>"
tierra,t̪ i e ɾ a,"<rr>"
si,s i,"<s>"
ta,t̪ a,"<t>"
ustedes,u s t̪ e d̪ e s,"<u>"
número,n u m e ɾ o,"<ú>"
weste,w e s t̪ e,"<w>"
éxito,e h i t̪ o,"<x>"
yo,j o,"<y>"
país,p a i s,
causa,k a u s a,
reina,ɾ e i n a,
estoicismo,e s t̪ o i s i s m o,
