paya,p a j a,"a"
cato,k a t u,"c"
pochin,p u tʃ i n,"ch"
tëquën,t ɨ k ɨ n,"ë"
huachi,w a tʃ i,"hu"
nipirinhuë,n i p i ɾ i n w ɨ,"i"
marë',m a ɾ ɨ ʔ,"m"
nohuanton,n u w a n t u n,"n"
itopiso,i t u p i s u,"o"
piyapi,p i j a p i,"p"
quëran,k ɨ ɾ a n,"qu"
iraca,i ɾ a k a,"r"
sanapiri,s a n a p i ɾ i,"s"
nisha,n i ʃ a,"sh"
tëranta,t ɨ ɾ a n t a,"t"
iyaro,i j a ɾ u,"y"
i'sha,i ʔ ʃ a,"apostrophe"
ya,j a,
co,k u,
sa,s a,
noya,n u j a,
ni,n i,
na,n a,
ton,t u n,
hua,w a,
itërin,i t ɨ ɾ i n,
chachin,tʃ a tʃ i n,
pi,p i,
tahuëri,t a w ɨ ɾ i,
chiniquën,tʃ i n i k ɨ n,
