da,ⁿt a,"<a>"
táragiya,t a ɾ a ᵑk i j a,"<á>"
iyaa,i j a ː,"<aa>"
dabaria,ⁿt a ᵐp a ɾ ia,"<b>"
kamanchintspa,k a m a n tʃ i ⁿts p a,"<ch>"
anomad,a n o m a ⁿt,"<d>"
mag,m a ᵑk,"<g>"
husiini,h o s i ː n i,"<h>"
siyaa,s i j a ː,"<i>"
chínash,tʃ i n a ʃ,"<í>"
Piip,p i ː p,"<ii>"
tpotsia,t p o ts ia,"<ia>"
kizpor,k i ʂ p o ɾ,"<k>"
kamanchillpa,k a m a n tʃ i ⁿtʃ p a,"<ll>"
magu,m a ᵑk o,"<m>"
novaa,n o w a ː,"<n>"
chinarintspa,tʃ i n a ɾ i ⁿts p a,"<nts>"
koxinxinav,k o ʈʂ i ᶯʈʂ i n a w,"<nx>"
nov,n o w,"<o>"
izooro,i ʂ o ː ɾ o,"<oo>"
anoa,a n oa,"<oa>"
tpots,t p o ts,"<p>"
ichigoro,i tʃ i ᵑk o ɾ o,"<r>"
kis,k i s,"<s>"
ashiro,a ʃ i ɾ o,"<sh>"
itaro,i t a ɾ o,"<t>"
itsinsaro,i ts i n s a ɾ o,"<ts>"
pagu,p a ᵑk o,"<u>"
vatam,w a t a m,"<v>"
xapoaragana,ʈʂ a p oa ɾ a ᵑk a n a,"<x>"
yovaa,j o w a ː,"<y>"
zapan,ʂ a p a n,"<z>"
yotaritshishia,j o t a ɾ i t ʃ i ʃ ia,
vanintshtaha,w a n i n t ʃ t a h a,
