kakaw,k a k a w,"a"
b'aj,ɓ a χ,"b'"
chakchi'in,tʃ a k tʃ i ʔ i n,"ch"
ch'ach'um,tʃʼ a tʃʼ u m,"ch'"
k'e'en,kʼ e ʔ e n,"e"
niwakil,n i w a k i l,"i"
jach'oj,χ a tʃʼ o χ,"j"
kakaxte',k a k a ʃ t e ʔ,"k"
k'ik',kʼ i kʼ,"k'"
lechlab',l e tʃ l a ɓ,"l"
me'em,m e ʔ e m,"m"
nab'en,n a ɓ e n,"n"
vin̈aj,w i ŋ a χ,"n̈"
nhoch'o',ŋ o tʃʼ o ʔ,"nh"
pokok,p o k o k,"o"
polpo',p o l p o ʔ,"p"
quedꞌoc,k e tʼ o k,"qu"
tz'ajq'ue,tsʼ a χ kʼ e,"q'u"
rumirum,ɾ u m i ɾ u m,"r"
sisim,s i s i m,"s"
tat,t a t,"t"
t'uru',tʼ u ɾ u ʔ,"t'"
tzaktzaj,ts a k ts a χ,"tz"
tz'ey,tsʼ e j,"tz'"
juku',χ u k u ʔ,"u"
wotix,w o t i ʃ,"w"
ximel,ʃ i m e l,"x"
yalisjaw,j a l i s χ a w,"y"
’ala’,ʔ a l a ʔ,"apostrophe"
