πήρα,p i ɾ ɐ,
µπύρα,b i ɾ ɐ,
φάση,f ɐ s i,
βάση,v ɐ s i,
µόνος,m o n̪ o s,
τείνω,t̪ i n̪ o,
ντύνω,d̪ i n̪ o,
θέµα,θ ɛ m ɐ,
δέµα,ð ɛ m ɐ,
σώα,s o ɐ,
ζώα,z o ɐ,
νόµος,n̪ o m o s,
ρήµα,ɾ i m ɐ,
λίµα,l i m ɐ,
κόµµα,k o m ɐ,
γκάµα,ɡ ɐ m ɐ,
χώµα,x o m ɐ,
γόµα,ɣ o m ɐ,
τον,t̪ o n̪,
καθηγητή,k ɐ θ i ɣ i t̪ i,
φίλο,f i l o,
µου,m u,
την,t̪ i n̪,
ρώτησα,ɾ o t̪ i s ɐ,
καφές,k ɐ f ɛ s,
λεκιάζει,l ɛ k i ɐ z i,
ο,o,
Μάνος,m ɐ n̪ o s,
σηκώθηκε,s i k o θ i k ɛ,
η,i,
πόρτα,p o ɾ t̪ ɐ,
ανοίγει,ɐ n̪ i ɣ i,
ανοίγω,ɐ n̪ i ɣ o,
είναι,i n̪ ɛ,
από,ɐ p o,
ύφασµα,i f ɐ s m ɐ,
δάνειο,ð ɐ n̪ i o,
φυσάει,f i s ɐ i,
περισσότερο,p ɛ ɾ i s o t̪ ɛ ɾ o,
φυσούσε,f i s u s ɛ,
παϊδάκι,p ɐ i ð ɐ k i,
παιδάκι,p ɛ ð ɐ k i,
Ταΰγετος,t̪ ɐ i ɣ ɛ t̪ o s,
αϋπνία,ɐ i p n̪ i ɐ,
μεταξύ,m ɛ t̪ ɐ k s i,
Μάιος,m ɐ i o s,
στρέψις,s t̪ ɾ ɛ p s i s,
ύψος,i p s o s,
κράτη-μέλη,k ɾ ɐ t̪ i m ɛ l i,
Σ'αυτό,s ɐ f t̪ o,
Αύγουστος,ɐ v ɣ u s t̪ o s,
πλευρά,p l ɛ v ɾ ɐ,
ναυτικός,n̪ ɐ f t̪ i k o s,
πνεύμα,p n̪ ɛ v m ɐ,
Εβραίος,ɛ v ɾ ɛ o s,
Ευρώπη,ɛ v ɾ o p i,
