xurrup,ʃ u r u p,intervocalic trill
buru,b u ɾ u,intervocalic tap
adar,a d̪ a r,final trill
plater,p l a t̪ e ɾ,final tap (exception)
ñañu,ɲ a ɲ u,
tzitzi,t̪s̻ i t̪s̻ i,
atzo,a t̪s̻ o,
atso,a t̪s̺ o,
yabe,j a b e,
hiru,i ɾ u,
ttiki,c i k i,tt digraph
zall,s̻ a ʎ,ll digraph
manddo,m a n ɟ o,dd digraph
joan,x o a n,
eta,e t̪ a,
informazioa,i n f o r m a s̻ i o a,
egin,e ɡ i n,
batzuk,b a t̪s̻ u k,
bat,b a t̪,
dela,d̪ e l a,
parte,p a r t̪ e,
beste,b e s̺ t̪ e,
izan,i s̻ a n,
gutxi,ɡ u t̪ʃ i,
baina,b ai n a,
zein,s̻ ei n,
soilik,s̺ oi l i k,
hau,au,
euskal,eu s̺ k a l,
ipuin,i p ui n,
