acaari,a c a ː r i,"a"
ballal,b a l ː a l,"b"
ɓernde,ɓ e r ⁿd e,"ɓ"
cuuram,c u ː r a m,"c"
dankali,d a n k a l i,"d"
ɗiɗo,ɗ i ɗ o,"ɗ"
deftere,d e f t e r e,"e"
fiɲaare,f i ɲ a ː r e,"f"
gimɗo,ɡ i m ɗ o,"g"
hiɗa,h i ɗ a,"h"
lacciri,l a c ː i r i,"i"
junngo,ɟ u ᵑɡ ː o,"j"
kudaku,k u d a k u,"k"
liingu,l i ː ᵑɡ u,"l"
lamɗam,l a m ɗ a m,"m"
mbeewa,ᵐb e ː w a,"mb"
nofuru,n o f u r u,"n"
ndiyam,ⁿd i j a m,"nd"
nguurndam,ᵑɡ u ː r ⁿd a m,"ng"
njoyo,ᶮɟ o j o,"nj"
lenyol,l e ɲ o l,"ny"
miñiraaɗo,m i ɲ i r a ː ɗ o,"ñ"
jaŋde,ɟ a ŋ d e,"ŋ"
ɗemŋgal,ɗ e m ᵑɡ a l,"ŋg"
toyoori,t o j o ː r i,"o"
pular,p u l a r,"p"
harfeere,h a r f e ː r e,"r"
seremmbe,s e r e ᵐb ː e,"s"
tato,t a t o,"t"
suudu,s u ː d u,"u"
mawniraawo,m a w n i r a ː w o,"w"
yeeso,j e ː s o,"y"
ƴiiƴam,ʔʲ i ː ʔʲ a m,"ƴ"
go'o,ɡ o ʔ o,"apostrophe"
