ava,a ʋ a,"a"
akãrasy,a k ã ɾ a s ɯ,"ã"
kichiha,k i ʃ i x a,"ch"
rete,ɾ e t e,"e"
me'ẽ,ᵐb e ʔ ẽ,"ẽ"
guasu,ɰ u a s u,"g"
hovy,x o ʋ ɯ,"h"
tapiti,t a p i t i,"i"
morotĩ,ᵐb o ɾ o t ĩ,"ĩ"
joka,dʒ o k a,"j"
kuñakarai,k u dʒ a k a ɾ a i,"k"
parral,p a r a l,"l & rr"
mymba,ᵐb ɯ ᵐb a,"m & mb"
nase,ⁿd a s e,"n"
manduvi,ᵐb a ⁿd u ʋ i,"nd"
hungy,x u ᵑɡ ɯ,"ng"
tañykã,t a dʒ ɯ k ã,"ñ"
oko,o k o,"o"
kasõ,k a s õ,"õ"
pepo,p e p o,"p"
resa,ɾ e s a,"r"
sãso,s ã s o,"s"
tatu,t a t u,"t"
uru,u ɾ u,"u"
angirũ,a ᵑɡ i ɾ ũ,"ũ"
sevo'i,s e ʋ o ʔ i,"v"
yvyra,ɯ ʋ ɯ ɾ a,"y"
kyre'ỹ,k ɯ ɾ e ʔ ɯ̃,"ỹ"
ha'e,x a ʔ e,"apostrophe"
