sa,s̪ a,"<s>; <a>"
abakáda,a b a k a d̪ a,"<á>"
bala,b a l a,"<b>; <l>"
kag,k a ɡ,"<k>; <g>"
kabuhi,k a b u h i,"<u>; <h>; <i>"
mga,m ɡ a,"<m>"
eskóba,i s̪ k u b a,"<ó>"
pa,p a,"<p>"
tawo,t̪ a w u,"<t>; <w>; <o>"
indi,i n̪ d̪ i,"<n>; <d>"
pero,p i ɾ u,"<e>; <r>"
ebanghélyo,i b a ŋ h i l j u,"<ng>; <é>; <y>"
abí’,a b i ʔ,"<í>; apostrophe"
balúta,b a l u t̪ a,"<ú>"
mangungúmaqsang,m a ŋ u ŋ u m a ʔ s̪ a ŋ,"<q>"
bug-os,b u ɡ u s̪,
pagkaon,p a ɡ k a u n̪,
sing,s̪ i ŋ,
ila,i l a,
ni,n̪ i,
kay,k a j,
sila,s̪ i l a,
wala,w a l a,
inyo,i n̪ j u,
ini,i n̪ i,
ako,a k u,
malain,m a l a i n̪,
kaugalingon,k a u ɡ a l i ŋ u n̪,
