rabdiav,ʈ a ˥ d ia ˨˦,"a"
taag,t ã ˦˨,"aa"
huablab,h ua ˥ l a ˥,"b (tone)"
cag,c a ˦˨,"c"
chaws,cʰ aɨ ˨,"ch"
ncauj,ᶮɟ au ˥˨,"nc"
nchuav,ᶮɟʱ ua ˨˦,"nch"
daim,d ai ˨˩,"d (letter)"
dhau,dʱ au ˧,"dh"
txwd,ts ɨ ˨˩,"d (tone)"
teb,t e ˥,"e"
meejpem,m ẽ ˥˨ p e ˨˩,"ee"
foob,f õ ˥,"f"
liag,l ia ˦˨,"g (tone)"
hub,h u ˥,"h"
ibtxhis,i ˥ tsʰ i ˨,"i"
koj,k o ˥˨,"j (tone)"
kotaw,k o ˧ t aɨ ˧,"k"
khw,kʰ ɨ ˧,"kh"
neesnkaum,n ẽ ˨ ᵑɡ au ˨˩,"nk"
nkhib,ᵑɡʱ i ˥,"nkh"
lolus,l o ˧ l u ˨,"l"
hlub,lʰ u ˥,"hl"
majmam,m a ˥˨ m a ˨˩,"m (letter)"
hmoob,m̥ õ ˥,"hm"
nlom,n l o ˨˩,"m (tone)"
nanej,n a ˧ n e ˥˨,"n"
hnov,n̥ o ˨˦,"hn"
nyiag,ɲ ia ˦˨,"ny"
hnyav,ɲ̥ a ˨˦,"hny"
mob,m o ˥,"o"
nloog,n l õ ˦˨,"oo"
pw,p ɨ ˧,"p"
plhu,p lʰ u ˧,"ph"
npam,ᵐb a ˨˩,"np"
nphoo,ᵐbʱ õ ˧,"nph"
qaib,q ai ˥,"q"
qhov,qʰ o ˨˦,"qh"
nqos,ᶰɢ o ˨,"nq"
nqhis,ᶰɢʱ i ˨,"nqh"
rawg,ʈ aɨ ˦˨,"r"
rhaub,ʈʰ au ˥,"rh"
nrau,ᶯɖ au ˧,"nr"
nrhiav,ᶯɖʱ ia ˨˦,"nrh"
suav,ʂ ua ˨˦,"s (letter)"
zis,ʐ i ˨,"s (tone)"
twb,t ɨ ˥,"t"
thiab,tʰ ia ˥,"th"
ntoo,ⁿd õ ˧,"nt"
nthi,ⁿdʱ i ˧,"nth"
tsev,tʂ e ˨˦,"ts"
tshee,tʂʰ ẽ ˧,"tsh"
ntsws,ᶯdʐ ɨ ˨,"nts"
ntshiab,ᶯdʐʱ ia ˥,"ntsh"
txoj,ts o ˥˨,"tx"
txhuam,tsʰ ua ˨˩,"txh"
ntxuav,ⁿdz ua ˨˦,"ntx"
ntxhw,ⁿdzʱ ɨ ˧,"ntxh"
du,d u ˧,"u"
vaubkib,v au ˥ k i ˥,"v (letter)"
qhuav,qʰ ua ˨˦,"v (tone)"
xwbpwg,s ɨ ˥ p ɨ ˦˨,"w"
xav,s a ˨˦,"x"
xya,ç a ˧,"xy"
yim,ʝ i ˨˩,"y"
zoov,ʐ õ ˨˦,"z"
